"平成27年(2015年)産業連関表 輸入表 (統合中分類)(単位:100万円)(総務省)","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計"
"たばこ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18644,1381060,0,0,0,0,0,1399704,1399704,0,0,1399704,1399704
"繊維工業製品",209,5,8,359,1666,0,0,3,79,0,7,82387,215509,28,9525,1659,24167,81,23,0,0,0,0,0,0,39,0,0,103,41362,572,142,1,0,73,0,0,4,0,0,62,50,86,40,3253,59,3412,45,0,430,0,257,69,0,8103,7,1769,117,60,1124,0,6117,10683,6,0,0,0,32,0,1220,3,0,0,0,220,39,0,521,9,27,16,2704,0,0,0,1372,0,67,155,10,1,220,538,56,42,32,285,0,9,2190,407,0,65,2673,67,14522,2,441264,40,28090,0,0,308,24391,-12696,40133,481397,0,0,40133,481397
"衣服･その他の繊維既製品",12950,1008,1367,83,5999,298,490,11367,1407,23,33,789,7766,950,648,1354,1196,317,1206,511,44,1292,336,132,1330,1301,74,90,725,1026,122,1808,473,561,854,210,975,558,248,209,829,794,1371,2139,2569,1728,2837,4342,3122,1453,331,626,1169,367,14941,1417,3792,775,484,8373,290,44121,3755,6909,4710,432,176,736,1555,124474,10530,675,134,0,1656,3973,964,2712,1238,74,1220,4176,645,1613,772,3969,630,2924,53978,400,3448,24631,1678,11989,7752,23789,14684,509,1753,16713,34497,9620,13812,9197,14852,3624,53,587631,13213,3962408,0,0,9,80952,28911,4085493,4673124,0,0,4085493,4673124
"木材･木製品",5,4768,2,430,96,0,0,3282,555,2368,0,1,20,129027,48587,233364,5801,33,3,1,0,9,0,0,0,36,0,0,151,2,116,2855,49,8259,137,0,56,18,0,0,3281,912,1284,114,114,2364,0,595,72,63,7,676,41,2,88,182,532,873,492,24320,0,539253,35460,5325,6005,37465,0,0,0,27581,0,0,3,22,0,0,0,20,0,0,28,15272,0,6,12,6,0,142,332,0,26,0,14,0,0,22,20,0,84,2869,42,22140,45,780,418,0,0,1169435,240,37433,0,0,262,13267,111,51313,1220748,0,0,51313,1220748
"家具･装備品",0,0,4,37,167,104,131,1915,388,5,163,206,208,148,36501,578,465,275,44,368,30,671,242,32,1970,497,15,19,890,460,3,84,359,178,665,136,378,183,0,64,394,211,351,662,1255,375,986,788,1156,379,328,338,1620,1274,388,170,1425,1237,325,3205,4,72940,66273,157,223,1663,186,637,1417,25199,10750,826,933,2151,160,757,0,801,434,30,628,1870,58,7739,482,16652,1060,1093,7510,3412,5528,9722,295,8833,3138,3778,2496,459,224,9563,2234,16314,654,11536,2323,0,59,368651,2181,117170,0,0,467,264196,-1200,382814,751465,0,0,382814,751465
"パルプ･紙･板紙･加工紙",28,0,8,0,13,0,0,150,232,0,3360,23,338,770,299,177277,100428,23027,0,71,0,0,1257,4654,78,3114,0,0,1163,352,2,26,0,189,203,0,70,0,9,0,208,2,0,0,0,129,0,1020,1455,54,0,117,125,0,0,1,5,0,0,791,0,6392,1271,1,0,0,0,0,61,378,776,0,0,65,0,0,0,17,25,2,196,1744,0,56,0,6638,0,65179,537,3174,4391,0,346,630,0,497,0,2,51,3440,294,0,200,710,0,1439,0,419560,2,595,0,0,0,0,323,920,420480,0,0,920,420480
"紙加工品",1064,937,279,0,0,0,0,11812,7942,217,478,29,940,39,508,113,190,76,59,43,0,164,296,26,2519,5226,0,1,661,85,63,268,433,562,37,0,0,0,1,0,12,1,32,15,28,149,12,377,34,31,11,60,18,3,44,2,36,5,5,1041,0,43,6848,0,0,0,0,13,186,17287,2448,11,0,0,1,8,0,11,5,1,113,1705,5,185,15,1219,0,144,96,343,295,35,81,69,47,217,2,177,1,6170,9,7709,7,2,367,26979,0,109838,365,62146,0,0,0,0,1400,63911,173749,0,0,63911,173749
"印刷･製版･製本",5,0,34,1,10,2,3,2962,108,29,37,4,171,24,71,8,577,3794,1,2,1,9,2,7,181,606,2,3,43,21,2,77,2,41,2,0,8,25,0,6,55,24,298,201,235,297,414,142,207,484,51,78,338,169,239,39,106,41,99,294,0,233,100,170,32,307,228,84,158,7102,7068,65,4,0,111,256,0,23,31,11,20,466,130,2860,174,1656,124,6365,5426,1269,3608,950,99,827,81,2126,220,4699,157,2811,24,136,104,667,224,0,0,63898,14,436,0,0,0,0,0,450,64348,0,0,450,64348
"化学肥料",54129,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57566,826,0,3861,1442,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119859,0,0,0,0,0,0,0,0,119859,0,0,0,119859
"無機化学工業製品",559,104,0,22,276,0,0,23880,3552,52,0,1873,0,49,61,6842,225,0,22661,145408,1374,13654,11510,652,43982,100303,110,0,10557,29515,43,20087,1257,4378,1218,4441,5630,350,0,1843,4289,1029,568,511,717,219,7014,2615,1125,420,473,17438,1261,409,0,0,144,275,276,1913,0,591,476,438,643,0,0,4670,12010,0,0,0,0,0,0,0,0,0,0,0,101,408,0,0,0,0,0,241,702,10,28649,920,832,218,173,0,0,168,229,0,24,298,0,0,2,0,2,548969,0,1003,0,0,0,0,-1730,-727,548242,0,0,-727,548242
"石油化学系基礎製品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4719,34715,1484,0,0,5276,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46246,0,0,0,0,0,0,0,0,46246,0,0,0,46246
"有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)",0,1,194,0,0,0,0,23409,8784,580,47,19731,124,986,47,11405,1703,85,629,13164,8673,599815,232746,23952,189150,388913,352,271,150055,66887,523,4501,110,36,14823,134,0,32,0,227,2038,104,337,2788,78,3309,15319,1742,687,3893,47,502,248,0,128,78,2960,83,12,509,0,462,677,0,0,0,5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,1,0,0,0,0,373,48,4758,25975,6205,389,35,228,0,0,0,1693,0,0,0,209,0,51,0,117,1839430,0,138,0,0,0,0,4829,4967,1844397,0,0,4967,1844397
"合成樹脂",0,0,0,0,0,0,0,1437,0,19,0,640,0,238,330,3059,424,0,0,0,0,0,1823,22655,0,63018,0,0,556364,0,289,454,0,0,677,0,32,0,0,0,325,0,0,0,0,971,1364,2077,2802,2405,0,379,1062,434,0,0,7259,583,13,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,3529,0,0,36,0,0,0,0,0,0,0,0,0,0,0,254,675627,0,0,0,0,0,0,-949,-949,674678,0,0,-949,674678
"化学繊維",0,0,0,0,0,0,0,0,0,0,0,87467,4509,12,625,1160,28,0,0,0,0,0,0,0,0,0,0,107,1008,119,208,335,0,0,5037,0,0,0,0,0,0,0,0,0,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,9371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111035,0,0,0,0,0,0,-6783,-6783,104252,0,0,-6783,104252
"医薬品",0,4529,8925,0,1954,0,0,399,0,227,4,0,8,0,0,0,0,0,0,0,0,0,0,0,27320,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2005,0,0,0,0,0,0,15,0,4,1,0,0,0,102,0,0,0,0,2,764,8,984,3026490,2045,5759,23601,0,0,0,0,0,9,0,0,17,2,0,685,3106507,5278,36948,0,0,0,0,0,42226,3148733,0,0,42226,3148733
"化学最終製品(医薬品を除く。)",26648,14,0,1,8,2,3070,26402,16380,0,285,6482,39,5797,1942,2106,1613,7680,913,11260,3574,28413,7528,100,71055,292352,1995,21,3334,7326,62,27,32,0,7762,2,10,303,0,0,480,408,1654,272,643,6807,47,2279,1016,207,43,2099,337,188,3720,886,23975,945,34,29180,0,31556,163,4540,895,0,26,14,42,4,0,0,0,0,0,25,0,0,0,0,3,7,0,0,22,382,0,4412,258,0,56571,39091,152,88,9001,64,37,1,222,7879,7,119,23023,83,8016,2240,111,798812,11516,429891,0,0,0,0,-538,440869,1239681,0,0,440869,1239681
"石油製品",4967,395,265,240,11360,27,691,37343,4710,1901,59,3271,850,435,770,3973,2133,5428,11697,12768,1320198,42179,846,1120,3779,8664,248197,18980,848,962,28,10250,1989,7154,3811,4844,5950,875,1284,1705,3082,3169,5750,2131,1973,1131,1968,1350,2029,393,30,1623,377,117,633,468,7260,3289,3674,269,506,4012,653,1740,379,194183,64239,3130,4694,5333,5584,1316,596,5,724,76137,54409,164615,299631,260,134,943,308,229,249,12,27,1938,115112,4191,7612,12859,101,4200,10942,1217,437,751,4551,6193,2411,39152,7571,7881,1965,0,8661,2949455,869,304568,0,0,0,0,10679,316116,3265571,0,0,316116,3265571
"石炭製品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,3870,0,0,0,0,0,1770,0,0,0,0,0,0,505,72779,0,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,1860,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,47,210,0,0,0,24,0,2722,0,0,0,0,0,86077,0,54,0,0,0,0,0,54,86131,0,0,54,86131
"プラスチック製品",276,0,0,0,1293,0,0,31703,19024,0,0,3,1043,102,517,499,2525,29285,333,665,0,756,127,132,14601,16209,38,0,540647,8716,1401,71,0,0,216,0,0,0,0,0,9509,29,245,113,1584,3524,8305,1983,17768,3029,961,14558,638,222,943,150,9715,113,1295,13338,0,94338,14034,8346,5863,0,0,14977,0,34211,7669,193,806,1102,0,0,0,0,0,0,53,764,0,11,0,7778,0,2068,1540,0,3125,1501,0,0,196,839,166,4517,403,699,380,0,131,11537,409,6289,0,982149,0,80599,0,0,0,0,0,80599,1062748,0,0,80599,1062748
"ゴム製品",9285,552,1551,41,1220,125,720,6514,939,6,2,65,1872,547,363,110,711,1046,55,52,163,667,192,0,1222,581,0,43,1274,22541,11334,86,1611,0,2287,591,1288,242,35,9,112,1710,961,9870,16186,8963,3564,796,8680,2483,337,1193,2874,542,99938,15991,50983,3314,5180,2668,4875,1432,795,5274,4556,0,0,720,54225,6785,113,0,0,0,204,3663,1580,1145,0,103,302,91,389,3226,26,0,1205,23,8780,1498,6942,10501,187,9000,8537,2797,751,13,45745,208,4612,3599,496,3747,2205,1808,420,508865,3991,377568,0,0,0,0,-171,381388,890253,0,0,381388,890253
"なめし革･革製品･毛皮",439,21,17,64,499,0,1154,695,91,1,0,155,2739,372,884,206,339,165,38,35,66,49,31,26,51,877,6,224,692,236,24343,21,221,464,214,122,463,471,33,29,210,997,237,233,2951,9555,1590,1491,434,36,495,62,808,77,1238,270,2269,78,258,5803,59,66,128,108,345,844,12024,498,730,6683,3403,16,4,0,1164,436,0,57,9,4,30,362,626,41531,920,69,4879,166,7608,1310,9482,1154,379,633,394,5949,6108,163,95,3600,1596,321,1538,2075,7020,0,3769,194000,32084,886306,0,0,0,0,-1391,916999,1110999,0,0,916999,1110999
"ガラス･ガラス製品",0,0,0,192,0,0,0,7489,23469,0,0,146,480,35,3192,110,0,12,7,1117,39,1046,23,0,24190,17957,0,0,8505,478,0,9341,15,0,795,0,0,0,0,0,7353,218,1109,540,588,17186,7362,11963,466,1256,456,6692,544,86,21148,2133,75,187,3830,5567,8,23127,3823,121,123,0,0,2,188,2319,49,0,0,0,4,109,0,99,45,0,0,0,0,0,0,0,0,21,1062,3112,8631,5196,2685,836,877,413,0,75,5155,104,1430,5454,187,1683,152,0,1569,256056,2202,7595,0,0,0,0,-1019,8778,264834,0,0,8778,264834
"セメント･セメント製品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12999,0,475,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18257,0,0,0,0,0,0,0,0,18257,0,0,0,18257
"陶磁器",0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,106,0,0,0,0,0,0,40,701,0,0,0,4,0,0,0,0,362,103,326,376,1901,22919,13334,8,264,742,690,0,0,0,131,2,14,0,0,46585,2018,283,1033,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,73,6,0,0,0,0,6,0,0,0,0,1,27111,0,0,63,0,0,119482,150,18341,0,0,0,0,277,18768,138250,0,0,18768,138250
"その他の窯業･土石製品",1223,347,161,0,5,16,0,250,13,195,0,0,0,23,87,341,4,3,97,2566,2,171,85,6,475,229,20,288,93,63,0,4136,2397,3883,29368,13764,252,1531,0,3682,612,1228,1089,6570,15239,1016,15299,3645,11454,789,314,7070,952,206,1318,130,10036,377,1454,1735,0,84478,31866,21351,23565,43,7,1200,0,366,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,95,1700,182,163,0,0,6,0,0,0,99,6,9,122,8,331,192,432,1332,313897,179,5538,0,0,0,0,-780,4937,318834,0,0,4937,318834
"銑鉄･粗鋼",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336150,5268,3447,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345014,0,0,0,0,0,0,-554,-554,344460,0,0,-554,344460
"鋼材",0,0,0,0,0,9,0,0,0,0,0,0,28,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,163725,1799,3517,0,0,84873,155749,5959,10228,460,0,16,1859,338,17,55,179,0,136,23617,17462,1580,356,98,0,5968,419,7281,5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491466,0,0,0,0,0,0,-1985,-1985,489481,0,0,-1985,489481
"鋳鍛造品(鉄)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,356,38,1729,9088,255,0,0,517,0,46,0,17,134,0,8,17792,193,58,0,0,0,0,20,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30559,0,25,0,0,0,0,0,25,30584,0,0,25,30584
"その他の鉄鋼製品",0,0,0,0,0,0,0,0,0,0,0,0,0,39,1799,0,0,0,0,396,0,8,0,0,0,161,0,0,198,0,0,48,3725,522,1386,114,0,495,0,0,674,19673,48834,15937,13336,1685,530,9903,11839,85,0,2792,860,453,0,862,29738,3996,3647,740,0,2026,1294,1338,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,180644,0,0,0,0,0,0,0,0,180644,0,0,0,180644
"非鉄金属製錬･精製",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9466,0,5,0,0,0,14008,0,0,0,0,0,2074,0,1520,5699,29835,70166,579,0,332483,1362315,1885,81375,1517,158,53738,57300,99382,14259,444,0,84715,1579,0,0,0,121890,47,155,9048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2355642,0,75417,0,0,0,0,87,75504,2431146,0,0,75504,2431146
"非鉄金属加工製品",0,0,0,0,0,0,0,58,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,525,0,0,3,0,0,461,0,318,0,0,3988,0,0,2295,98837,16691,61459,52427,51915,12701,19563,167652,187485,41401,4434,57070,64407,7916,7390,9783,279868,3997,13770,1622,0,6544,2640,270,40609,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,1957,0,0,46,0,0,0,6,0,0,0,0,0,0,0,140,1222636,0,0,0,0,0,0,-56,-56,1222580,0,0,-56,1222580
"建設用･建築用金属製品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289229,23983,25387,23515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371184,0,0,0,0,0,11,0,11,371195,0,0,11,371195
