"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-10-29",-40287,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2019-11-05",-26794,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2019-11-12",-40809,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2019-11-19",-47240,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2019-11-26",-45355,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2019-12-03",-36433,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2019-12-10",-36808,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2019-12-17",-46578,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2019-12-24",-46164,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2019-12-31",-38339,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2020-01-07",-27249,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2020-01-14",-20549,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2020-01-21",-19301,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2020-01-28",-27520,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2020-02-04",-43297,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
