"Date","総合(ウエイト=10000)","生鮮食品を除く総合(ウエイト=9588)","食料(酒類を除く)及びエネルギーを除く総合(ウエイト=7063)","生鮮食品及びエネルギーを除く総合(ウエイト=9038)"
"78年11月",4.3,3.8,5.8,4.5
"78年12月",4.5,4,6.2,4.8
"79年01月",4.2,4,6.1,4.7
"79年02月",3,3.4,5.3,3.9
"79年03月",3,3.4,5.3,4.1
"79年04月",3,3.3,4.7,3.5
"79年05月",3.1,3.2,4.7,3.4
"79年06月",3.9,3.9,5.1,3.9
"79年07月",4.2,3.5,4.6,3.5
"79年08月",2.9,3.5,4.6,3.4
"79年09月",2.9,4,5,3.8
"79年10月",4.2,4.1,4.8,3.5
"79年11月",4.9,4.2,4.6,3.6
"79年12月",5.2,4.2,4.1,3.4
"80年01月",6.1,4.6,4.7,3.8
"80年02月",7.2,4.9,5.1,4.3
"80年03月",6.9,5,4.7,4.2
"80年04月",7.3,6.8,5.3,5
"80年05月",7.3,7.8,6.1,5.9
"80年06月",7.7,8.1,6.8,6.2
"80年07月",6.8,8,6.7,6.2
"80年08月",8,8.2,7.1,6.6
"80年09月",8.1,7.6,6.3,6
"80年10月",6.7,7.9,6.2,6.2
"80年11月",7.3,7.9,6.5,6.4
"80年12月",6.5,7.8,6.4,6.3
"81年01月",6.5,6.9,5.6,5.8
"81年02月",6.3,6.7,5.5,5.8
"81年03月",6.1,6.4,5.5,5.4
"81年04月",4.6,4.1,4.5,4.6
"81年05月",4.8,4.3,4.7,4.5
"81年06月",4.8,3.9,4.3,4.3
"81年07月",4.3,3.9,3.9,4
"81年08月",3.7,3.7,3.7,3.8
"81年09月",3.8,3.9,4,3.9
"81年10月",3.9,3.8,4,3.9
"81年11月",3.9,4.1,4.3,4.2
"81年12月",4.3,4,4.2,4.1
"82年01月",3.4,4.1,4.2,4
"82年02月",3.3,3.9,4.1,3.8
"82年03月",3.2,3.8,4.1,3.7
"82年04月",3.6,4.2,4.5,4.2
"82年05月",2.7,3.2,3.4,3.3
"82年06月",2.5,3.4,3.4,3.3
"82年07月",2.1,3,3.1,3.1
"82年08月",3.9,3.3,3.6,3.5
"82年09月",3.8,3.2,3.5,3.4
"82年10月",3.7,3.1,3.3,3.1
"82年11月",2.4,2.5,2.6,2.5
"82年12月",2.4,2.7,3,2.8
"83年01月",2.6,2.5,2.8,2.6
"83年02月",2.3,2.3,2.5,2.4
"83年03月",2.4,2.2,2.3,2.3
"83年04月",2,2,2.3,2.2
"83年05月",2.7,2,2.5,2.3
"83年06月",1.9,1.7,2,1.9
"83年07月",2.5,2,2.6,2.3
"83年08月",1.4,1.7,2.3,2
"83年09月",0.9,1.8,2.4,2.1
"83年10月",1.6,1.8,2.6,2.3
"83年11月",2.6,2.5,3.2,2.8
"83年12月",1.9,2,2.6,2.4
"84年01月",2.1,2.1,2.7,2.5
"84年02月",3.4,2.7,3.2,2.9
"84年03月",3.1,2.6,3.3,3
"84年04月",2.9,2.6,3.1,2.8
"84年05月",2.5,2.8,3.2,3
"84年06月",2.2,2.3,2.7,2.6
"84年07月",2.5,2.3,2.5,2.4
"84年08月",2.1,2.6,2.7,2.6
"84年09月",2.5,2.5,2.7,2.7
"84年10月",2.2,2.4,2.8,2.6
"84年11月",2.1,2.3,2.7,2.4
"84年12月",2.9,2.6,3.2,2.8
"85年01月",3.2,2.6,3.4,3
"85年02月",1.7,2.4,2.8,2.6
"85年03月",2,2.7,3.4,2.8
"85年04月",2.2,2.5,3.3,2.7
"85年05月",1.9,1.9,2.5,2.3
"85年06月",2.8,2.6,3,2.6
"85年07月",2.9,2.7,3,2.6
"85年08月",2.7,3,2.8,2.4
"85年09月",2.3,2.2,3.2,2.7
"85年10月",2.8,2,2.9,2.6
"85年11月",2.5,1.8,3.1,2.7
"85年12月",2.3,1.8,2.9,2.6
"86年01月",1.7,1.8,2,2
"86年02月",2.1,1.8,2.4,2
"86年03月",1.5,1.6,2,1.8
"86年04月",1.3,1.4,2,1.6
"86年05月",1.5,1.7,2.2,2
"86年06月",0.8,1,2.2,1.8
"86年07月",0.2,0.9,2.1,1.7
"86年08月",0.4,0.8,2,1.6
"86年09月",0.6,0.7,1.9,1.6
"86年10月",0,0.7,2,1.5
"86年11月",0.3,0.4,1.6,1.2
"86年12月",0.1,0.3,1.7,1.2
"87年01月",-0.6,0.1,1.6,1.2
"87年02月",-0.7,0.2,1.6,1.2
"87年03月",-0.3,0.2,1.6,1.2
"87年04月",0.3,0.3,1.7,1.2
"87年05月",0.1,0,1.3,0.8
"87年06月",0.8,0.7,1.5,1
"87年07月",0.4,0.6,1.3,0.9
"87年08月",0.8,0.7,1.6,1
"87年09月",1,0.7,1.4,0.9
"87年10月",1,0.6,1.2,0.8
"87年11月",1,0.8,1.5,1
"87年12月",1.2,0.9,1.6,1.1
"88年01月",1.2,0.9,1.5,0.9
"88年02月",1.2,0.9,1.3,1.1
"88年03月",1.2,0.8,1.2,1
"88年04月",0.7,0.7,1.1,0.9
"88年05月",0.6,0.7,1.3,0.9
"88年06月",0.4,0.6,1.1,0.8
"88年07月",0.8,0.6,1,0.8
"88年08月",0.8,0.6,1,0.8
"88年09月",1,0.7,1.2,0.9
"88年10月",1.7,0.9,1.3,1.2
"88年11月",1.7,1.1,1.3,1.4
"88年12月",1.3,1.1,1.4,1.3
"89年01月",1.5,1.2,1.4,1.4
"89年02月",1.4,1.3,1.6,1.4
"89年03月",1.7,1.7,2.2,1.7
"89年04月",2.7,2.8,2.9,3.1
"89年05月",3.3,3.2,3.1,3.5
"89年06月",3.4,3.1,3.1,3.4
"89年07月",3.3,3.2,3.1,3.5
"89年08月",2.9,3.1,2.9,3.4
"89年09月",3,3.4,3.2,3.7
"89年10月",3.1,3.4,3.3,3.6
"89年11月",2.6,3.3,3.2,3.4
"89年12月",3,3.2,3,3.3
"90年01月",3.4,3.3,3.3,3.5
"90年02月",3.8,3.1,2.8,3.3
"90年03月",3.5,3,2.6,3.1
"90年04月",2.8,2.3,2.5,2.3
"90年05月",2.7,2.1,2.3,2.1
"90年06月",2.3,2.2,2.3,2.2
"90年07月",2.5,2.4,2.6,2.4
"90年08月",3,2.5,2.6,2.5
"90年09月",2.8,2.4,2.4,2.4
"90年10月",3.1,2.6,2.6,2.6
"90年11月",3.8,2.9,2.7,2.9
"90年12月",3.7,3.1,2.9,3.1
"91年01月",3.9,3,2.8,3
"91年02月",3.3,3.2,2.8,3.2
"91年03月",3.4,3.1,2.8,3.1
"91年04月",3,2.7,2.3,2.8
"91年05月",3,2.8,2.6,2.9
"91年06月",3.3,3,3,3.1
"91年07月",3.4,3.1,3,3.2
"91年08月",3.5,3.1,3,3.2
"91年09月",3,3,3.2,3
"91年10月",3.2,2.7,2.9,2.8
"91年11月",3.6,2.5,2.8,2.7
"91年12月",3,2.5,2.7,2.7
"92年01月",2.1,2.4,2.6,2.6
"92年02月",2.2,2.5,2.9,2.7
"92年03月",2.1,2.6,2.9,2.7
"92年04月",2.8,2.9,3.3,3
"92年05月",2.3,2.6,2.8,2.8
"92年06月",2.5,2.6,2.8,2.8
"92年07月",2,2.2,2.4,2.4
"92年08月",1.8,2.4,2.5,2.6
"92年09月",2.2,2.4,2.5,2.6
"92年10月",1.1,2.3,2.5,2.5
"92年11月",0.6,2.1,2.2,2.2
"92年12月",1,1.9,2,2
"93年01月",1,1.5,1.4,1.6
"93年02月",1.2,1.5,1.4,1.6
"93年03月",1.2,1.5,1.3,1.6
"93年04月",0.9,1.3,1.4,1.4
"93年05月",1.1,1.5,1.8,1.5
"93年06月",0.9,1.3,1.4,1.3
"93年07月",1.6,1.4,1.5,1.4
"93年08月",1.8,1.1,1.5,1.1
"93年09月",1.3,1,1.2,1
"93年10月",1.3,1.2,1.4,1.3
"93年11月",0.9,1.1,1.3,1.2
"93年12月",1.3,1.1,1.3,1.2
"94年01月",1.4,1.1,1.3,1.2
"94年02月",1.4,1,1.1,1.1
"94年03月",1.3,0.9,0.8,1
"94年04月",0.8,0.7,0.7,0.9
"94年05月",0.6,0.7,0.6,0.9
"94年06月",0.5,0.8,0.8,1
"94年07月",-0.3,0.6,0.7,0.7
"94年08月",-0.1,0.7,0.6,0.8
"94年09月",0.2,0.5,0.8,0.7
"94年10月",0.8,0.5,0.6,0.6
"94年11月",1.1,0.5,0.7,0.6
"94年12月",0.5,0.3,0.6,0.4
"95年01月",0.5,0.3,0.7,0.4
"95年02月",0,0.3,0.7,0.4
"95年03月",-0.4,0.2,0.8,0.3
"95年04月",-0.2,0.1,0.6,0.1
"95年05月",-0.1,-0.2,0.5,-0.2
"95年06月",0,-0.4,0.2,-0.4
"95年07月",-0.1,-0.4,0,-0.4
"95年08月",-0.4,-0.5,0,-0.5
"95年09月",0,0.1,0.3,0.2
"95年10月",-0.9,-0.2,0.2,-0.1
"95年11月",-0.9,-0.1,0.3,0
"95年12月",-0.5,0,0.3,0.1
"96年01月",-0.5,-0.1,0.4,0.1
"96年02月",-0.3,0,0.4,0.1
"96年03月",-0.2,0,0.2,0.1
"96年04月",0.2,0,0.3,0.1
"96年05月",0.1,0,0.2,0.1
"96年06月",-0.1,0.1,0.2,0.2
"96年07月",0.4,0.2,0.3,0.3
"96年08月",0,0,0.2,0.1
"96年09月",-0.4,-0.3,-0.3,-0.2
"96年10月",0,-0.1,-0.2,0
"96年11月",0.1,-0.1,-0.1,0
"96年12月",0.2,-0.1,-0.1,-0.1
"97年01月",0,0.1,-0.3,0
"97年02月",0,0.1,-0.2,0
"97年03月",0,0.1,-0.1,0
"97年04月",1.2,1.4,0.8,1.3
"97年05月",1.4,1.6,1.1,1.5
"97年06月",1.8,1.6,1.1,1.5
"97年07月",1.4,1.6,1,1.4
"97年08月",1.6,1.8,1.1,1.6
"97年09月",2.2,2.3,2,2.2
"97年10月",2.4,2.2,2.1,2.1
"97年11月",2,2.2,2,2.1
"97年12月",1.8,2.2,2.1,2.2
"98年01月",2,1.9,1.9,1.9
"98年02月",2,1.7,1.8,1.8
"98年03月",2.2,1.7,1.9,1.8
"98年04月",0.7,0.5,0.9,0.7
"98年05月",0.8,0.3,0.7,0.5
"98年06月",0.4,0.3,0.9,0.5
"98年07月",0,0.1,0.7,0.3
"98年08月",-0.1,0.1,0.7,0.3
"98年09月",-0.1,-0.3,0,-0.1
"98年10月",0.4,-0.2,0,0
"98年11月",1,-0.2,0.1,0
"98年12月",0.8,-0.1,0.1,0.1
"99年01月",0.1,-0.1,0,0.1
"99年02月",-0.2,-0.1,0,0
"99年03月",-0.4,-0.2,-0.2,-0.1
"99年04月",-0.2,-0.2,-0.1,-0.1
"99年05月",-0.6,-0.2,-0.3,-0.1
"99年06月",-0.4,-0.1,-0.1,0
"99年07月",-0.1,-0.1,-0.1,0.1
"99年08月",0.3,-0.1,-0.1,0.1
"99年09月",-0.1,0,-0.1,0.1
"99年10月",-0.9,-0.2,-0.2,-0.2
"99年11月",-1.3,-0.3,-0.3,-0.3
"99年12月",-1.4,-0.4,-0.4,-0.4
"00年01月",-1,-0.5,-0.5,-0.5
"00年02月",-0.8,-0.4,-0.4,-0.4
"00年03月",-0.7,-0.4,-0.4,-0.4
"00年04月",-0.9,-0.5,-0.5,-0.6
"00年05月",-0.9,-0.4,-0.3,-0.5
"00年06月",-1.2,-0.9,-1,-1.1
"00年07月",-0.9,-0.7,-0.8,-0.9
"00年08月",-1.3,-0.8,-0.9,-1
"00年09月",-1.4,-1,-1.1,-1.2
"00年10月",-1.2,-1,-1,-1.1
"00年11月",-1,-0.9,-0.9,-1
"00年12月",-0.6,-1,-1,-1.1
"01年01月",-0.7,-1.2,-1.4,-1.4
"01年02月",-0.9,-1.4,-1.7,-1.5
"01年03月",-1.3,-1.5,-1.8,-1.7
"01年04月",-1.3,-1.4,-1.7,-1.5
"01年05月",-1.1,-1.4,-1.6,-1.5
"01年06月",-1.1,-1.1,-1.3,-1.2
"01年07月",-1.1,-1.1,-1.4,-1.1
"01年08月",-1,-1.2,-1.4,-1.2
"01年09月",-1.2,-1.2,-1.5,-1.2
"01年10月",-1.1,-1,-1.3,-1.1
"01年11月",-1.3,-1,-1.3,-1.1
"01年12月",-1.5,-1,-1.1,-1.1
"02年01月",-1.7,-1.2,-1.4,-1.2
"02年02月",-1.7,-0.9,-1.1,-0.9
"02年03月",-1.2,-0.7,-1,-0.7
"02年04月",-1.3,-1.1,-1.1,-0.9
"02年05月",-1.2,-1.1,-1.3,-0.9
"02年06月",-0.9,-1,-1,-0.8
"02年07月",-0.9,-1,-1.1,-0.8
"02年08月",-0.9,-0.9,-0.9,-0.7
"02年09月",-0.8,-0.9,-0.9,-0.7
"02年10月",-0.8,-0.8,-0.8,-0.6
"02年11月",-0.3,-0.7,-0.8,-0.5
"02年12月",-0.3,-0.7,-0.8,-0.5
"03年01月",-0.3,-0.6,-0.6,-0.5
"03年02月",-0.2,-0.7,-0.7,-0.6
"03年03月",-0.3,-0.7,-0.6,-0.6
"03年04月",-0.2,-0.4,-0.5,-0.5
"03年05月",-0.3,-0.4,-0.4,-0.5
"03年06月",-0.3,-0.4,-0.5,-0.5
"03年07月",-0.5,-0.4,-0.3,-0.5
"03年08月",-0.6,-0.3,-0.4,-0.4
"03年09月",-0.4,-0.3,-0.4,-0.4
"03年10月",-0.3,-0.1,-0.2,-0.2
"03年11月",-0.7,-0.2,-0.4,-0.3
"03年12月",-0.4,-0.1,-0.3,-0.2
"04年01月",-0.5,-0.3,-0.6,-0.3
"04年02月",-0.2,-0.2,-0.4,-0.2
"04年03月",-0.1,-0.1,-0.3,-0.1
"04年04月",-0.3,-0.1,-0.4,-0.1
"04年05月",-0.3,-0.1,-0.4,-0.1
"04年06月",-0.1,-0.1,-0.4,-0.1
"04年07月",-0.2,-0.1,-0.5,-0.1
"04年08月",-0.2,-0.2,-0.5,-0.2
"04年09月",-0.2,-0.1,-0.3,-0.1
"04年10月",0.3,-0.3,-0.3,-0.2
"04年11月",0.6,-0.3,-0.3,-0.3
"04年12月",0,-0.4,-0.4,-0.4
"05年01月",-0.3,-0.5,-0.4,-0.5
"05年02月",-0.4,-0.5,-0.5,-0.5
"05年03月",-0.4,-0.5,-0.5,-0.5
"05年04月",-0.4,-0.5,-0.5,-0.5
"05年05月",-0.2,-0.4,-0.4,-0.4
"05年06月",-0.7,-0.4,-0.4,-0.4
"05年07月",-0.3,-0.4,-0.3,-0.4
"05年08月",-0.5,-0.3,-0.3,-0.3
"05年09月",-0.6,-0.4,-0.4,-0.4
"05年10月",-1,-0.3,-0.6,-0.5
"05年11月",-1,-0.3,-0.3,-0.4
"05年12月",-0.5,-0.2,-0.3,-0.3
"06年01月",-0.3,-0.4,-0.6,-0.6
"06年02月",-0.3,-0.2,-0.5,-0.6
"06年03月",-0.4,-0.1,-0.3,-0.4
"06年04月",-0.1,-0.1,-0.3,-0.3
"06年05月",0,-0.1,-0.2,-0.3
"06年06月",0.3,0,-0.3,-0.2
"06年07月",0.2,0,-0.1,-0.2
"06年08月",0.8,0,-0.2,-0.3
"06年09月",0.5,0,-0.3,-0.3
"06年10月",0.4,0.1,-0.1,-0.1
"06年11月",0.2,0.2,0,0
"06年12月",0.3,0.2,0,0.1
"07年01月",0.1,0.2,0.1,0.1
"07年02月",0,0,-0.1,0.1
"07年03月",0.1,-0.1,-0.3,-0.1
"07年04月",0.1,0,-0.2,-0.1
"07年05月",0,0,-0.2,-0.1
"07年06月",-0.2,-0.1,-0.3,-0.2
"07年07月",-0.1,-0.1,-0.3,-0.2
"07年08月",-0.3,0,-0.2,-0.1
"07年09月",-0.1,-0.1,-0.3,-0.1
"07年10月",0.1,0,-0.3,-0.1
"07年11月",0.3,0.1,-0.1,0
"07年12月",0.4,0.3,-0.1,0.1
"08年01月",0.3,0.4,0,0.2
"08年02月",0.4,0.4,-0.1,0
"08年03月",0.6,0.6,0.1,0.3
"08年04月",0.6,0.7,0,0.4
"08年05月",0.9,0.9,0.1,0.6
"08年06月",1.5,1.3,0.3,0.9
"08年07月",1.6,1.6,0.3,1
"08年08月",1.3,1.5,0.2,1
"08年09月",1.4,1.7,0.5,1.2
"08年10月",1.2,1.5,0.4,1.1
"08年11月",1.1,1.1,0.2,0.9
"08年12月",0.8,0.8,0.2,0.8
"09年01月",0.5,0.5,-0.3,0.4
"09年02月",0.5,0.6,-0.1,0.5
"09年03月",0.2,0.4,-0.4,0.2
"09年04月",-0.1,0,-0.6,-0.2
"09年05月",-0.8,-0.7,-0.9,-0.4
"09年06月",-1.5,-1.3,-1,-0.8
"09年07月",-1.8,-1.7,-1.1,-0.9
"09年08月",-1.7,-1.9,-1.1,-1.1
"09年09月",-2.1,-2.1,-1.4,-1.4
"09年10月",-2.4,-2.2,-1.4,-1.5
"09年11月",-2.2,-1.9,-1.3,-1.4
"09年12月",-2.2,-1.9,-1.5,-1.6
"10年01月",-2.1,-2,-1.4,-1.6
"10年02月",-1.8,-1.8,-1.3,-1.4
"10年03月",-1.7,-1.8,-1.2,-1.4
"10年04月",-1.5,-1.9,-1.4,-1.5
"10年05月",-1.4,-1.5,-1.4,-1.6
"10年06月",-1,-1.3,-1.4,-1.5
"10年07月",-1.2,-1.3,-1.4,-1.6
"10年08月",-1,-1.1,-1.4,-1.4
"10年09月",-0.6,-1,-1.3,-1.4
"10年10月",0.3,-0.5,-0.6,-0.7
"10年11月",0.2,-0.5,-0.6,-0.7
"10年12月",-0.1,-0.4,-0.5,-0.6
"11年01月",-0.5,-0.8,-1,-1
"11年02月",-0.5,-0.8,-0.9,-0.9
"11年03月",-0.7,-0.8,-1,-0.9
"11年04月",-0.7,-0.5,-1,-0.7
"11年05月",-0.6,-0.4,-0.6,-0.6
"11年06月",-0.6,-0.4,-0.7,-0.6
"11年07月",0.1,-0.1,-0.4,-0.3
"11年08月",-0.2,-0.2,-0.6,-0.5
"11年09月",-0.3,-0.1,-0.4,-0.4
"11年10月",-0.5,-0.4,-1,-0.8
"11年11月",-0.9,-0.5,-1.2,-1
"11年12月",-0.4,-0.3,-1.1,-0.9
"12年01月",-0.2,-0.4,-1.1,-0.9
"12年02月",-0.2,-0.3,-1.1,-0.8
"12年03月",-0.1,-0.3,-1,-0.8
"12年04月",-0.3,-0.5,-1,-1
"12年05月",-0.5,-0.8,-1.3,-1.2
"12年06月",-0.6,-0.6,-1,-0.9
"12年07月",-0.8,-0.6,-1,-0.9
"12年08月",-0.7,-0.5,-0.9,-0.8
"12年09月",-0.7,-0.4,-1.1,-1
"12年10月",-0.8,-0.4,-1,-1
"12年11月",-0.5,-0.5,-0.9,-0.9
"12年12月",-0.6,-0.6,-1,-1
"13年01月",-0.5,-0.5,-0.9,-0.9
"13年02月",-0.9,-0.6,-1,-1
"13年03月",-1,-0.5,-0.8,-0.9
"13年04月",-0.6,-0.3,-0.7,-0.7
"13年05月",-0.2,0.1,-0.3,-0.4
"13年06月",0,0.2,-0.4,-0.4
"13年07月",0.4,0.3,-0.4,-0.4
"13年08月",0.5,0.4,-0.4,-0.3
"13年09月",0.5,0.2,-0.4,-0.2
"13年10月",0.6,0.3,-0.2,-0.1
"13年11月",1,0.6,0.2,0.2
"13年12月",1,0.7,0.3,0.4
"14年01月",0.7,0.7,0.3,0.4
"14年02月",1.1,0.9,0.5,0.5
"14年03月",1.3,1,0.4,0.6
"14年04月",2.9,2.7,2,2.3
"14年05月",3.1,2.8,1.9,2.3
"14年06月",3,2.8,2,2.3
"14年07月",2.8,2.7,2.1,2.4
"14年08月",2.8,2.7,2.1,2.4
"14年09月",2.8,2.6,2,2.4
"14年10月",2.5,2.6,2.1,2.4
"14年11月",2.1,2.4,1.8,2.2
"14年12月",2.2,2.3,1.8,2.1
"15年01月",2.3,2.2,1.7,2.1
"15年02月",2.3,2.2,1.7,2.1
"15年03月",2.3,2.2,1.7,2.1
"15年04月",0.7,0.4,0,0.3
"15年05月",0.5,0.2,0.1,0.4
"15年06月",0.3,0.1,0.2,0.5
"15年07月",0.1,-0.1,0.3,0.5
"15年08月",0.1,-0.1,0.4,0.6
"15年09月",-0.1,-0.2,0.6,0.8
"15年10月",0.1,-0.2,0.4,0.7
"15年11月",0.1,0,0.6,0.9
"15年12月",0.1,0.1,0.6,1
"16年01月",-0.2,-0.1,0.4,0.7
"16年02月",0.2,0,0.6,0.9
"16年03月",0.1,-0.1,0.6,0.9
"16年04月",-0.3,-0.3,0.6,0.8
"16年05月",-0.5,-0.4,0.5,0.6
"16年06月",-0.4,-0.3,0.4,0.6
"16年07月",-0.4,-0.4,0.2,0.4
"16年08月",-0.5,-0.4,0.1,0.3
"16年09月",-0.5,-0.5,-0.1,0.1
"16年10月",0.1,-0.4,0.1,0.2
"16年11月",0.5,-0.4,0,0.1
"16年12月",0,-0.6,-0.2,-0.1
"17年01月",0.1,-0.3,0,0.1
"17年02月",-0.3,-0.3,-0.1,0
"17年03月",-0.4,-0.4,-0.4,-0.2
"17年04月",-0.1,-0.1,-0.4,-0.1
"17年05月",0.1,0.1,-0.2,0
"17年06月",0.1,0,-0.4,-0.2
"17年07月",0.2,0.2,-0.3,-0.1
"17年08月",0.5,0.4,-0.1,0
"17年09月",0.5,0.5,-0.1,0
"17年10月",-0.1,0.6,0,0.1
"17年11月",0.3,0.6,0.1,0.2
"17年12月",1,0.8,0.2,0.4
"18年01月",1.3,0.7,0.3,0.4
"18年02月",1.4,0.9,0.4,0.5
"18年03月",1,0.8,0.4,0.5
"18年04月",0.5,0.6,0.3,0.3
"18年05月",0.4,0.5,0.1,0.2
"18年06月",0.6,0.7,0.3,0.4
"18年07月",0.9,0.8,0.4,0.5
"18年08月",1.2,0.9,0.5,0.6
"18年09月",1.2,1,0.5,0.7
"18年10月",1.5,1,0.5,0.6
"18年11月",0.8,1,0.5,0.6
"18年12月",0.4,0.9,0.4,0.6
"19年01月",0.5,1.1,0.7,0.7
"19年02月",0.6,1.1,0.7,0.7
"19年03月",0.9,1.1,0.6,0.7
"19年04月",1.3,1.3,0.9,0.9
"19年05月",1.1,1.1,0.7,0.8
"19年06月",1.1,0.9,0.6,0.8
"19年07月",0.9,0.9,0.6,0.8
"19年08月",0.6,0.7,0.6,0.7
"19年09月",0.4,0.5,0.4,0.6
"19年10月",0.4,0.5,0.4,0.7
"19年11月",0.8,0.6,0.4,0.7
"19年12月",1,0.8,0.7,0.9
"20年01月",0.6,0.7,0.5,0.9
"20年02月",0.4,0.5,0.3,0.7
"20年03月",0.4,0.4,0.3,0.7
"20年04月",0.2,-0.1,-0.2,0.2
"20年05月",0.4,0.2,0.2,0.5
"消費者物価指数:東京都区部:前年同月比 Source:総務省",,,,
"東京都区部消費者物価指数",,,,
