"Date","総平均(除く国際運輸)","総平均"
"10年08月",-1.5,-1.4
"10年09月",-1.5,-1.4
"10年10月",-1.4,-1.4
"10年11月",-1.3,-1.2
"10年12月",-1.3,-1.3
"11年01月",-1.1,-1.1
"11年02月",-1,-1
"11年03月",-1,-1
"11年04月",-0.9,-0.9
"11年05月",-0.9,-1
"11年06月",-1,-0.9
"11年07月",-0.8,-0.8
"11年08月",-0.6,-0.6
"11年09月",-0.5,-0.4
"11年10月",-0.3,-0.3
"11年11月",-0.3,-0.3
"11年12月",-0.4,-0.4
"12年01月",-0.3,-0.4
"12年02月",-0.5,-0.5
"12年03月",-0.3,-0.2
"12年04月",0,0.1
"12年05月",0,0
"12年06月",-0.2,-0.3
"12年07月",-0.3,-0.3
"12年08月",-0.3,-0.4
"12年09月",-0.4,-0.5
"12年10月",-0.7,-0.7
"12年11月",-0.5,-0.5
"12年12月",-0.2,-0.2
"13年01月",-0.4,-0.3
"13年02月",-0.2,-0.1
"13年03月",-0.2,-0.2
"13年04月",-0.4,-0.3
"13年05月",-0.2,-0.1
"13年06月",-0.1,0
"13年07月",0,0.1
"13年08月",0,0.2
"13年09月",0,0.1
"13年10月",0.1,0.2
"13年11月",0.2,0.4
"13年12月",0.2,0.4
"14年01月",0.3,0.4
"14年02月",0.4,0.4
"14年03月",0.5,0.5
"14年04月",3.2,3.1
"14年05月",3.4,3.4
"14年06月",3.4,3.4
"14年07月",3.4,3.4
"14年08月",3.5,3.4
"14年09月",3.4,3.4
"14年10月",3.5,3.5
"14年11月",3.5,3.4
"14年12月",3.4,3.3
"15年01月",3.4,3.3
"15年02月",3.2,3.1
"15年03月",3.1,3.1
"15年04月",0.7,0.6
"15年05月",0.6,0.5
"15年06月",0.5,0.4
"15年07月",0.6,0.5
"15年08月",0.6,0.6
"15年09月",0.5,0.4
"15年10月",0.4,0.3
"15年11月",0.4,0.3
"15年12月",0.5,0.3
"16年01月",0.4,0.2
"16年02月",0.3,0.1
"16年03月",0.5,0.2
"16年04月",0.4,0.2
"16年05月",0.4,0.1
"16年06月",0.4,0.1
"16年07月",0.5,0.2
"16年08月",0.3,0.1
"16年09月",0.5,0.3
"16年10月",0.6,0.4
"16年11月",0.4,0.4
"16年12月",0.5,0.5
"17年01月",0.4,0.5
"17年02月",0.6,0.7
"17年03月",0.7,0.8
"17年04月",0.8,0.8
"17年05月",0.7,0.8
"17年06月",0.7,0.8
"17年07月",0.6,0.6
"17年08月",0.7,0.8
"17年09月",0.7,0.8
"17年10月",0.8,1
"17年11月",0.8,0.9
"17年12月",0.9,1
"18年01月",0.9,0.9
"18年02月",0.9,1
"18年03月",0.7,0.8
"18年04月",1,1.1
"18年05月",0.8,0.9
"18年06月",1,1.1
"18年07月",1.1,1.3
"18年08月",1.2,1.3
"18年09月",1.1,1.3
"18年10月",1.3,1.4
"18年11月",1.3,1.4
"18年12月",1.1,1.1
"19年01月",1,1.1
"19年02月",1,1
"19年03月",1.1,1.1
"19年04月",0.9,1
"19年05月",1,0.9
"19年06月",0.7,0.7
"19年07月",0.5,0.5
"19年08月",0.5,0.5
"19年09月",0.6,0.5
"19年10月",2.1,2
"19年11月",2.1,2
"19年12月",2.1,2.1
"20年01月",2.2,2.3
"20年02月",2.1,2.1
"20年03月",1.6,1.6
"20年04月",0.9,1
"企業向けサービス価格指数(月次):[企業向けサービス価格指数]:(前年比):% Source:日本銀行",,
"企業向けサービス価格指数",,
