"Date","景気動向指数:CI指数(H27=100):一致指数:内閣府","景気動向指数:CI指数(H27=100):先行指数:内閣府","景気動向指数:CI指数(H27=100):遅行指数:内閣府"
"2002-08-01",89.3,91.4,87.3
"2002-09-01",89.7,90.4,87.9
"2002-10-01",90,91.2,88.1
"2002-11-01",90.4,91.2,88.4
"2002-12-01",89.8,90.3,88.9
"2003-01-01",90.8,90.8,89.1
"2003-02-01",91.4,91.1,89.6
"2003-03-01",91.4,90.8,90.1
"2003-04-01",90.7,90.7,89.9
"2003-05-01",91.6,91.7,90.8
"2003-06-01",91.6,92.2,91.3
"2003-07-01",91.9,93.3,92
"2003-08-01",92.5,93.2,92.7
"2003-09-01",94.2,95.3,92.7
"2003-10-01",96.1,97.2,93.7
"2003-11-01",95.4,95.5,93.9
"2003-12-01",97.2,96.6,94.7
"2004-01-01",98.4,98.1,95.9
"2004-02-01",98.2,98.1,96
"2004-03-01",98,99.8,96.4
"2004-04-01",98.8,100.6,97.7
"2004-05-01",99.2,101.4,98.3
"2004-06-01",99.9,101,98
"2004-07-01",101.2,102.9,98.3
"2004-08-01",100.1,101.9,98.6
"2004-09-01",100.3,102.2,99.6
"2004-10-01",99.7,102.4,99.2
"2004-11-01",101.1,102.7,99.6
"2004-12-01",100.2,103.1,99.3
"2005-01-01",101,102.3,99.9
"2005-02-01",100.2,101.9,99.5
"2005-03-01",100.7,103.1,100.6
"2005-04-01",102.3,104,100.5
"2005-05-01",101.2,102.8,100.7
"2005-06-01",101.8,103.1,101.4
"2005-07-01",101.1,103.8,100.7
"2005-08-01",101.7,104.3,101.7
"2005-09-01",101.4,104,102
"2005-10-01",101.9,105.6,101.3
"2005-11-01",102.7,106.7,101.6
"2005-12-01",103.9,106.7,102
"2006-01-01",104.1,106.9,101.7
"2006-02-01",104.3,107.8,103.1
"2006-03-01",104.5,106.3,103.1
"2006-04-01",105.4,108.6,104
"2006-05-01",105.2,108.2,104.3
"2006-06-01",105.7,106.6,104.9
"2006-07-01",105.9,105.6,105.6
"2006-08-01",106.2,107.3,105.4
"2006-09-01",105.7,106.2,105.5
"2006-10-01",106,106.4,106.2
"2006-11-01",106.3,107.1,106.8
"2006-12-01",106.1,106.7,107.3
"2007-01-01",106,106.9,107.8
"2007-02-01",106.5,107.6,107
"2007-03-01",105.9,107.2,107.1
"2007-04-01",106.7,107.6,107.9
"2007-05-01",106.9,107.2,108.1
"2007-06-01",106.7,106.5,108.3
"2007-07-01",105.8,106.4,108.6
"2007-08-01",106.5,104.3,108.8
"2007-09-01",105.2,103.2,108.9
"2007-10-01",105.8,104.9,109.1
"2007-11-01",104.7,102.9,110.4
"2007-12-01",104.8,102.2,110.3
"2008-01-01",104.4,102.4,109.6
"2008-02-01",104.8,102.6,110.2
"2008-03-01",103.8,100.7,110.4
"2008-04-01",102.9,101.2,108.4
"2008-05-01",102.9,100.5,108.7
"2008-06-01",100.5,99.1,107.5
"2008-07-01",99.7,98.3,107.6
"2008-08-01",96.3,96.5,106.4
"2008-09-01",95.5,95.3,105.9
"2008-10-01",92.5,89.7,105.1
"2008-11-01",87.1,84.4,102.4
"2008-12-01",81.9,80.7,99
"2009-01-01",75.5,75,96.8
"2009-02-01",70.1,72.7,94
"2009-03-01",69.4,74.2,92.2
"2009-04-01",70.5,77.9,90.7
"2009-05-01",72.4,80.1,88.1
"2009-06-01",73.5,83.4,87.2
"2009-07-01",74.2,85,85.9
"2009-08-01",75.8,86.6,86
"2009-09-01",78,89.1,85.7
"2009-10-01",80.1,91.3,85.5
"2009-11-01",81.6,90.6,85.4
"2009-12-01",83.3,92.6,85.8
"2010-01-01",85.7,93.6,86.7
"2010-02-01",86.8,92.7,86.7
"2010-03-01",87.8,96.2,87
"2010-04-01",88.9,97.8,86.5
"2010-05-01",88.3,96.6,87.4
"2010-06-01",88.7,97.1,87.8
"2010-07-01",89.3,97,88.6
"2010-08-01",89.9,97.2,88.4
"2010-09-01",90.1,96.7,88.5
"2010-10-01",89.7,96.2,89.1
"2010-11-01",91.7,96.8,89.3
"2010-12-01",91.6,97.1,89.3
"2011-01-01",91.8,97.7,89.8
"2011-02-01",93,98.7,90.3
"2011-03-01",86.7,96.5,88.3
"2011-04-01",85.2,94,89.4
"2011-05-01",87.2,94.6,89.8
"2011-06-01",89.4,96.9,89.7
"2011-07-01",90.8,98.6,90
"2011-08-01",91.8,98.3,90.8
"2011-09-01",92.5,96.9,91.6
"2011-10-01",94.3,96.9,91
"2011-11-01",92.8,96.4,91.3
"2011-12-01",94.9,96.9,91.9
"2012-01-01",95.3,97.5,91.4
"2012-02-01",96,98.7,92.7
"2012-03-01",97.1,99.2,93.3
"2012-04-01",95.8,98.7,93.3
"2012-05-01",95.3,97.8,92.8
"2012-06-01",93.5,96.4,92.8
"2012-07-01",93,95.6,92.2
"2012-08-01",93.1,95.4,92.4
"2012-09-01",91.7,94.3,92.2
"2012-10-01",91.5,94,92.6
"2012-11-01",91.2,93.5,92.2
"2012-12-01",92.5,94.7,92.2
"2013-01-01",92.7,96.7,91.7
"2013-02-01",93.8,99.7,91.3
"2013-03-01",95.2,101.4,91.3
"2013-04-01",95.7,102.7,91.3
"2013-05-01",96.7,104.3,92
"2013-06-01",96.9,103.3,92.4
"2013-07-01",98.2,104.1,93.3
"2013-08-01",99.1,104.5,93.8
"2013-09-01",100,105.8,94.1
"2013-10-01",100.7,105.9,94.5
"2013-11-01",101.8,107.4,95.4
"2013-12-01",101.7,106.7,96.1
"2014-01-01",103.8,107.3,97.3
"2014-02-01",103.2,104,97.5
"2014-03-01",105.6,103,98.1
"2014-04-01",100.8,100.8,98.2
"2014-05-01",101.1,99.5,100.1
"2014-06-01",99.8,99.5,100
"2014-07-01",100.2,100.8,100.4
"2014-08-01",99.4,100.7,100.2
"2014-09-01",100.7,100.9,100.2
"2014-10-01",100.3,99.6,100.2
"2014-11-01",99.9,100.1,100.2
"2014-12-01",100.3,100.2,99.9
"2015-01-01",101.5,99.9,100.1
"2015-02-01",100.2,100,100.1
"2015-03-01",99.3,100.1,99.7
"2015-04-01",100.3,101.5,100.1
"2015-05-01",99.8,102.7,100
"2015-06-01",100.6,102.3,99.6
"2015-07-01",100.3,100.7,100
"2015-08-01",99.5,100,99.8
"2015-09-01",100.2,98.8,100
"2015-10-01",100.3,99.2,100.2
"2015-11-01",99.4,98.1,100.2
"2015-12-01",98.5,96.8,100.2
"2016-01-01",99.2,97,99.7
"2016-02-01",98.7,95.8,99.9
"2016-03-01",98.4,95.9,99.6
"2016-04-01",98.7,96,99.7
"2016-05-01",98,96,99
"2016-06-01",98.4,96.3,99.7
"2016-07-01",98.9,96.5,99.5
"2016-08-01",99.1,96.5,99.8
"2016-09-01",99.4,96.4,100.2
"2016-10-01",100.1,97.6,100
"2016-11-01",101.4,99,100.2
"2016-12-01",101.2,101,100.7
"2017-01-01",101,101,100.9
"2017-02-01",101.5,100.8,101.4
"2017-03-01",101.6,101.6,102
"2017-04-01",103,100.8,102.3
"2017-05-01",102.2,100.9,102.1
"2017-06-01",102.7,101.6,102.4
"2017-07-01",102.1,101.5,102.1
"2017-08-01",103.5,102.6,102.8
"2017-09-01",102.7,102.1,103.1
"2017-10-01",102.7,101.6,103.9
"2017-11-01",104,103.2,104.4
"2017-12-01",105.1,102.3,104.6
"2018-01-01",102.6,101.3,104.3
"2018-02-01",103.4,101.5,104.4
"2018-03-01",103.5,100.7,104.7
"2018-04-01",104.2,101.9,104.3
"2018-05-01",103.7,101.7,104.9
"2018-06-01",103.4,100.8,104.7
"2018-07-01",102.9,99.8,104
"2018-08-01",103,99.8,104.3
"2018-09-01",101.9,99.7,103.6
"2018-10-01",103.9,99.2,103.7
"2018-11-01",102.1,98.6,103.9
"2018-12-01",100.9,97.2,103.4
"2019-01-01",100.5,96.4,104.3
"2019-02-01",101.7,96.8,104.3
"2019-03-01",101.3,96.4,104.1
"2019-04-01",101.3,96.3,104.1
"2019-05-01",101.3,95.4,104
"2019-06-01",98.9,94.2,104.1
"2019-07-01",98.9,93.8,104.3
"2019-08-01",98,92.5,104
"2019-09-01",99.6,92.3,104
"2019-10-01",95.5,91.8,102.9
"2019-11-01",94.4,90.9,102.8
"2019-12-01",93.4,91.3,102.8
"2020-01-01",94.3,90.6,102.3
"2020-02-01",93.7,91.5,101.3
"2020-03-01",88.8,85.1,100.7
"2020-04-01",80.1,77.7,97.5
"2020-05-01",73.4,78.4,93
" Source:内閣府",,,
"景気動向指数",,,
