"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合中分類)(単位:100万円)(総務省)","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計","(控除)輸入","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"その他の金属製品",9950,3790,60,490,2109,4429,12717,107713,354714,1958,155,239,8379,22197,109283,7138,4765,2933,10,25436,487,23392,4118,377,93035,98175,6383,1667,20293,75634,4050,11731,23560,12724,17058,1037,1547,20292,337,2888,12013,217572,520789,367636,538842,268124,77298,199728,265981,74833,41917,54901,94948,50916,60073,32647,295197,98985,28758,78424,165,561687,829678,92453,50360,6376,5466,3626,745,276780,4061,643,3891,19151,1923,20751,0,7701,250,934,5465,30975,45,10235,282,4042,1283,2812,175591,3695,4123,11687,151,5630,5292,10773,7385,63,54883,10792,4766,72404,19482,1500,34926,542,25067,6867364,30178,250676,0,0,18115,412055,-13699,697325,7564689,819032,819032,1516357,8383721,-803079,-6025,-64557,-873661,642696,7510060
"はん用機械",0,0,0,24,0,251,1619,0,0,0,0,0,0,186,13144,0,0,0,0,0,0,0,0,0,0,590,0,0,5306,0,0,6451,790,3441,2564,0,0,3266,0,0,134,4703,7457,1635494,658076,102974,12071,17757,115746,89872,5524,1028,10175,1721,5859,4742,290120,89757,39992,5097,0,271544,8370,55452,56021,0,0,46838,0,406,1,0,0,0,1885,72,0,38,242,17,269,2160,74,0,46,0,0,240,13236,0,0,0,0,10,0,0,54,0,489674,5079,0,0,0,0,386,0,0,4088045,0,13291,0,0,157066,4278071,88467,4536895,8624940,3372310,3372310,7909205,11997250,-1424716,0,-113976,-1538692,6370513,10458558
"生産用機械",0,0,0,122,0,366,1397,0,0,0,0,0,0,94,1069,0,0,0,0,0,0,0,0,0,0,0,192,45,35359,0,0,495,1599,3005,3364,3,14,2909,886,170,954,216,5551,50593,2447173,13040,24655,16006,27419,4005,5277,946,3193,1744,4829,1822,27278,10202,5465,1213,0,762,1343,2070,104,0,133,1126,0,318,0,0,0,0,138,272,0,548,130,115,173,1008,58,61,0,0,84,0,645,0,0,0,0,0,0,0,712,0,725896,364,0,0,0,52,407,0,0,3439189,0,7805,0,0,99585,8574450,164159,8845999,12285188,6445904,6445904,15291903,18731092,-1876084,0,-150085,-2026169,13265734,16704923
"業務用機械",31,0,4041,32,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,62,27536,93173,588055,1610,0,13174,0,1740,0,3989,2860,2632,974,10258,5659,1698,1699,25,11352,0,604,0,0,0,444,136,104030,413,0,0,0,0,27,0,74,49,85,201,966,82,256,111,0,571,8882,127453,0,0,642219,11111,28337,22158,0,18737,0,238040,10645,189,0,48,32932,3876,36162,0,2059637,2339,101116,202,0,444862,4303373,73505,4925397,6985034,2027360,2027360,6952757,9012394,-1952156,-747,-156191,-2109094,4843663,6903300
"電子デバイス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3494,11705,72870,674056,1162641,337204,429844,471224,515427,279103,642257,520502,0,0,317343,0,12327,55872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,798,0,0,0,0,0,0,0,200838,0,0,0,0,0,0,0,0,5707538,0,1762,0,0,0,0,43898,45660,5753198,3919648,3919648,3965308,9672846,-2777101,0,-222168,-2999269,966039,6673577
"その他の電子部品",0,0,0,0,12,0,21,36,30,0,3,0,3,5,27,4,87,4302,0,10,2,8,3,0,99,25,10,0,2,5,0,0,2,0,0,8,15,1,6,0,1197,20,27618,66607,85658,258990,782776,1476325,230833,76500,273311,58386,380759,161705,8501,2029,246741,2726,3033,9798,0,16272,1960,625,79,120,12,95,0,2340,1583,0,0,0,86,1,0,16,5,0,1,128,34,3804,12897,20545,1260,30770,88065,854,63266,47,0,238,1,0,84,1,532832,1870,4,0,18,2,652,52660,0,4991466,540,154914,0,0,0,0,47530,202984,5194450,2842940,2842940,3045924,8037390,-1087864,0,-87019,-1174883,1871041,6862507
"産業用電気機器",0,119,0,0,1094,0,110,0,0,0,0,0,0,64,329,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,26,0,0,0,0,0,0,0,107,6021,1055,221970,285964,79971,0,7650,1078526,58771,22491,9805,30419,17081,334383,33602,895502,39548,20895,1440,0,64206,39898,18644,35571,0,0,0,0,11,0,0,0,0,464,0,74,0,0,0,32,0,1,20,0,0,0,0,33,0,0,0,0,0,0,0,0,0,223496,3,0,0,0,0,103,0,342,3529899,21,8017,0,0,77782,2897395,-7072,2976143,6506042,2954978,2954978,5931121,9461020,-1333975,0,-106718,-1440693,4490428,8020327
"民生用電気機器",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205911,0,6,0,0,0,0,0,753,3522,20,0,105937,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,0,0,0,312,0,0,0,0,0,4124,21035,0,0,0,0,0,0,0,988,0,84851,900,0,0,0,1742,108,0,0,431326,56439,2446847,0,0,3683,542517,7543,3057029,3488355,309111,309111,3366140,3797466,-877099,-134,-69974,-947207,2418933,2850259
"電子応用装置･電気計測器",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10430,73133,22322,1986,0,33143,0,76317,0,2573,421,295,0,59,11053,564,0,0,4108,469,4650,5294,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,150,0,0,36492,0,0,2880,0,0,0,0,0,0,32295,2843,0,0,0,0,0,0,0,321609,5,82,0,0,128527,1072066,3953,1204633,1526242,1713886,1713886,2918519,3240128,-995047,0,-79604,-1074651,1843868,2165477
"その他の電気機械",72,244,3,0,1337,2,180,0,0,0,15,0,0,1,1322,0,0,95,0,22,0,0,0,0,36,23,0,0,230,0,0,0,0,0,239,0,0,0,0,0,86,11,2417,11585,21095,30382,184904,80431,80683,24286,7528,252126,47595,4255,262021,36696,82940,4331,23702,11369,0,135629,41501,14711,14714,77,0,836,0,20736,89,750,240,0,2493,564,1348,674,110,89,50,3735,0,0,2822,525,0,4318,15633,14043,6217,1562,349,32,68,0,222,0,73981,4216,492,1171,131,5278,604,0,5093,1547367,9783,682100,0,0,90275,719053,42633,1543844,3091211,1195924,1195924,2739768,4287135,-1167151,0,-93337,-1260488,1479280,3026647
