"Date","総計","総計:持家","総計:持家:住宅金融機構","総計:給与住宅","総計:貸家","総計:分譲住宅:マンション","総計:分譲住宅:一戸建て","総計:分譲住宅"
"77年07月",-11.6,-26.3,,-19.4,-6,,,37
"77年08月",5.1,8.7,,-1.4,-6.9,,,15.1
"77年09月",-0.9,2,,-21,-7.1,,,5.1
"77年10月",-2.1,2,,-21.5,-14.4,,,11.4
"77年11月",8.9,13.4,,-8.1,2.8,,,11.8
"77年12月",-4.8,-10.8,,40,3.3,,,-5.3
"78年01月",-6,-1.2,,-40.4,-14.9,,,1.3
"78年02月",11.2,31.5,,-23.5,-2.9,,,-4.4
"78年03月",15.9,40.7,,-16.9,-6.4,,,-0.8
"78年04月",-2.8,-10,,-13.4,-1.2,,,14.3
"78年05月",-1.3,-7.3,,36.5,7.2,,,-1.9
"78年06月",31,71.9,,-25.2,2.2,,,-4.8
"78年07月",8.7,16.1,,-20.7,4.1,,,0.8
"78年08月",-20.2,-40.6,,-4.9,3.1,,,-3
"78年09月",-9.5,-25.9,,13.5,2.1,,,0.8
"78年10月",2,7.8,,-15.6,8.1,,,-10.4
"78年11月",9.3,37.2,,50.5,-8.3,,,-15.6
"78年12月",0.3,-0.7,,-28.9,2.6,,,1.7
"79年01月",-21.9,-41.7,,19.3,-6.9,,,-1.5
"79年02月",-17.4,-36.9,,-19.4,1.1,,,8
"79年03月",-4.7,-15.9,,-5.3,6,,,12.9
"79年04月",11.8,21.4,,0.9,7.1,,,-1.2
"79年05月",1.7,8.8,,-39.9,-11.1,,,9.5
"79年06月",-8.6,-15.6,,6.9,-1.8,,,4.6
"79年07月",4.4,16,,16.9,-11.5,,,-5
"79年08月",15.2,55.4,,-20.4,-12.1,,,-2.9
"79年09月",11.8,49.3,,-6.4,-7.9,,,-6.1
"79年10月",-4.8,-6.5,,-1.7,-9.5,,,3.5
"79年11月",-18.4,-33,,-22.5,-3,,,-1.4
"79年12月",-12,-9.2,,51.9,-20.7,,,-9.4
"80年01月",4.6,17.1,,2.6,-6.8,,,3.1
"80年02月",-2.9,10.1,,18.7,-21,,,-0.9
"80年03月",-5.7,2.5,,-36.1,-15.5,,,-9.5
"80年04月",-10.5,-3.7,,19.2,-32.7,,,-0.9
"80年05月",-9.4,-5.5,,-6.5,-12.7,,,-13.6
"80年06月",-18,-25.1,,-17.1,-16.4,,,-1.3
"80年07月",-26.4,-34.8,,2,-27,,,-3.2
"80年08月",-23.1,-31.3,,-1.9,-25.7,,,-3.5
"80年09月",-20.3,-22.7,,-16.9,-24.2,,,-11.4
"80年10月",-20.2,-12.1,,-33.6,-28.9,,,-20.9
"80年11月",-22.6,-17.6,,-20.8,-33.4,,,-17.3
"80年12月",-15.2,-15.7,,-28.6,-21.9,,,-5.1
"81年01月",-24.3,-13.2,,-3.2,-39.5,,,-24.6
"81年02月",-7.3,-2.3,,22.7,-20.7,,,-4.4
"81年03月",-21.2,-21.2,,11.2,-24.6,,,-19.1
"81年04月",-14.5,-22.7,,-12.5,3,,,-10.1
"81年05月",12.4,-1.1,,65.9,22.6,,,27.1
"81年06月",-6.6,-3.3,,4.8,-0.4,,,-19.8
"81年07月",-16.6,-9.5,,-19.5,-11,,,-35.4
"81年08月",-9.5,-0.6,,-26,-4.8,,,-26.7
"81年09月",-5.5,1.3,,-9.2,6.1,,,-27.8
"81年10月",-6.5,0.8,,-8.5,5.8,,,-30.1
"81年11月",-2,-3,,-10.1,9.1,,,-11.5
"81年12月",-4.8,4,,-31.5,-1.5,,,-20.4
"82年01月",-2.2,1.7,,-10.8,8.5,,,-17.9
"82年02月",-9.3,-5.3,,-40.6,-0.2,,,-20.9
"82年03月",0.8,0.7,,18,7.7,,,-6.9
"82年04月",-11.3,0.5,,-15.6,-9.3,,,-37.3
"82年05月",-22,-2,,-48.3,-31.3,,,-44.1
"82年06月",-1.9,3.3,,-0.3,-2.6,,,-13.7
"82年07月",7.8,4.1,,-7.9,25.6,,,-1.4
"82年08月",4.9,2.8,,72.2,9.1,,,-1.2
"82年09月",6.9,9.3,,31.1,4.7,,,1.7
"82年10月",14.8,20,,29.5,11.6,,,6.8
"82年11月",13.6,27.7,,3.5,18.9,,,-19.1
"82年12月",2.1,0.3,,2.1,19.3,,,-14.7
"83年01月",20.7,7.5,,-11.6,36.9,,,31.6
"83年02月",5.2,-4.8,,-23.6,33.7,,,-2.5
"83年03月",-7,-19.9,,-20.8,19.9,,,-4.5
"83年04月",-3.8,-22.4,,-6.2,31.7,,,7.4
"83年05月",-11.2,-23.4,,-7.9,15.1,,,-10
"83年06月",-0.1,-15.3,,-13.7,26.7,,,7.8
"83年07月",-3.4,-17,,-7.6,15.7,,,8.7
"83年08月",-1.7,-20.1,,-23.7,25,,,9.3
"83年09月",-3.7,-21.6,,-28.1,18.2,,,9.7
"83年10月",-2,-18.2,,-0.3,19.2,,,5.4
"83年11月",-1.6,-27.2,,0.2,23.8,,,25.8
"83年12月",6.9,-21.9,,23,39.1,,,24.1
"84年01月",-11.7,-19.9,,-21,11.1,,,-26.1
"84年02月",2.8,-3.1,,14.7,14.3,,,-3.1
"84年03月",5.6,-0.8,,23.9,13.4,,,6.5
"84年04月",10.9,4.1,,-26.6,11.1,,,30
"84年05月",16.8,2.7,,7.6,34,,,23.7
"84年06月",-0.7,-1,,5.4,8.7,,,-15.4
"84年07月",6.3,0.2,,28,22.2,,,-7
"84年08月",4.3,-3.6,,18.9,18.3,,,-4.8
"84年09月",3.8,2.7,,3.8,19.2,,,-19.4
"84年10月",5.8,-0.9,,12.3,23.4,,,-13
"84年11月",3.2,-7,,4.5,19.3,,,-10
"84年12月",5,-0.4,,32.9,17.6,,,-12.2
"85年01月",9.9,-0.5,,24.9,24,,,1.1
"85年02月",6,-3,,12.2,19.1,,,0.8
"85年03月",8.1,11.8,,-27.9,15.4,,,-7
"85年04月",3.2,1.8,,14.3,17.5,,,-16
"85年05月",3.3,2.5,,15.9,14.2,,,-15.9
"85年06月",6,-1,,3,13,,,10.3
"85年07月",-0.5,-5,,-5.2,8.3,,,-7.3
"85年08月",-4.7,-8.2,,-17.9,6.8,,,-18.2
"85年09月",3.2,-1.9,,-24.9,6.3,,,10.1
"85年10月",5.4,-0.5,,-9.8,13.8,,,-0.7
"85年11月",6.5,-2.3,,-3,13.6,,,5.3
"85年12月",5.3,-9,,-28.8,14.8,,,11.2
"86年01月",9.5,-0.9,,0.6,17.5,17.6,,10.3
"86年02月",5.9,1,,-8,11.5,14.7,,5.2
"86年03月",2.1,-9.6,,20,17,-0.2,,0.3
"86年04月",-0.8,-5.6,,58,6.3,-7.4,,-8.5
"86年05月",5,-3.5,,-24.1,15.2,17.4,,4.3
"86年06月",4.7,-0.6,,12.8,21.9,-31.8,,-19.9
"86年07月",13.5,6,,1.5,26.4,-2.9,,1.8
"86年08月",19.4,20.5,,4.4,26.3,1.3,,3.1
"86年09月",20.9,11.5,,30,38.3,-1.2,,-2.3
"86年10月",14.9,0.4,,6.5,29.6,1.7,,5.8
"86年11月",17.8,10.6,,-6.2,29.2,-7.6,,1.5
"86年12月",12.9,11.9,,-11.9,24.4,-21.9,,-13.6
"87年01月",10.3,-0.1,,-12,25.9,-20,,-9.9
"87年02月",13.4,2.2,,-22.8,26.8,0.9,,7.9
"87年03月",12.8,4.9,,-6.8,27.9,-14.6,,-2
"87年04月",19.3,11.3,,-23.9,36.1,-1.2,,2.7
"87年05月",24.7,13.8,,60.9,36.9,9.8,,14.1
"87年06月",28.1,9.1,,-24.8,45.1,54.1,,34.8
"87年07月",27.2,14.9,,14.9,43.3,18.4,,11.4
"87年08月",30.9,18,,9.8,48.6,15.6,,10.9
"87年09月",26.8,17.1,,23.7,35,14.9,,21.7
"87年10月",26.6,24.5,,0.2,32.3,19.8,,13.7
"87年11月",25.2,32.2,,19.4,23.1,26.6,,20.3
"87年12月",20.8,24.5,,20.1,18.7,33.8,,21.8
"88年01月",19,27.2,,6.6,16.3,29.7,,14.9
"88年02月",17.1,21.5,,30.4,17.2,9.8,,8.5
"88年03月",14.8,3.3,,6.6,20.3,38.9,,25
"88年04月",2,-12.9,,-15.4,6.9,27.1,,26
"88年05月",4.2,-13.4,,-30.5,12,38.2,,23.2
"88年06月",1.9,-9.5,,85.9,4,18.7,,16.2
"88年07月",-1.9,-10.9,,15.7,-3,34.1,,24.3
"88年08月",2.2,-9.7,,6.4,0.2,56.8,,37.1
"88年09月",-7,-11.8,,16,-11.8,26.2,,18.1
"88年10月",-8.5,-11.2,,3.2,-11.1,0.2,,7.2
"88年11月",-11.4,-16.7,,-22.3,-12.6,8.9,,4.7
"88年12月",-8.1,-14.9,,12.5,-13.5,27.9,,22.9
"89年01月",-8.3,-16.6,,25.8,-10.8,11.6,,14.7
"89年02月",-9.5,-20,,38.3,-9,3.4,,6.7
"89年03月",-0.5,5.5,,24.4,-7.1,7.4,,5.2
"89年04月",4.4,16,,40.1,-6.6,23.7,6.1,11.6
"89年05月",-0.4,11.6,,39.4,-11.5,5,19.3,10.8
"89年06月",-2.1,3.6,,2.7,-8.6,2.4,14.6,6.8
"89年07月",-1.7,0.8,,18.6,-6.3,10.7,-1.3,5
"89年08月",-6,3.4,,6.2,-8.7,-21.7,-2.4,-14
"89年09月",0,-0.8,,1.2,1.7,-12,11.3,-3.5
"89年10月",2.8,-3.5,,30.6,-1.4,44.7,8,26.6
"89年11月",3.2,-3.5,,47.3,2.6,17.9,6.4,12.7
"89年12月",0.6,-12,,30,5.9,-5.9,12.5,2.1
"90年01月",6.3,-2,,-1.1,4.3,34.8,10.8,24.6
"90年02月",5.6,2.9,,85.4,2.1,24.5,-5.1,11.6
"90年03月",-2,-11.1,,7.7,0.1,9.1,8,8.5
"90年04月",0.5,-7.9,,36.4,4.9,3.4,6.7,3.7
"90年05月",8.4,10.3,,58.6,5.3,12.5,6.8,9.1
"90年06月",7.8,0.5,,19,4.2,60.4,-4.9,29.7
"90年07月",6.3,-2.9,,8.4,5.2,33.4,13.8,25.8
"90年08月",-0.1,-8.7,,2.4,-7.1,52.2,17.1,37.1
"90年09月",5.2,-5.1,,29.4,-1.4,65.2,3.5,38.3
"90年10月",0.7,-3.7,,2.1,-4.1,26.7,8.9,19.7
"90年11月",-3.7,-11.4,,7.4,-9,32.9,2.1,19.9
"90年12月",-1.4,-1,,11.1,-15.2,63.9,-1.8,33.8
"91年01月",-4.2,1.7,,83.7,-18.6,23.9,1.7,16.4
"91年02月",-12.5,-14.7,,-16.5,-18,10.2,-7.6,2.8
"91年03月",-16.3,-17.5,,62.7,-29.7,25.6,-12.1,9.2
"91年04月",-18.9,-10.3,,-5.7,-31.5,0.3,-13.6,-5.5
"91年05月",-22.1,-21.3,,32.5,-28.9,-13.4,-10.7,-12.8
"91年06月",-21.6,-14.8,,46.8,-32.8,-11.6,-14.3,-13.3
"91年07月",-21,-5.6,,19.4,-30.7,-27.8,-16,-24.7
"91年08月",-22.8,-12.6,,29.5,-28.1,-27.5,-28.7,-29.4
"91年09月",-26.6,-9.1,,10.9,-32.6,-44.7,-24.3,-38.2
"91年10月",-25.5,-7.1,,11.5,-31.1,-45.7,-25,-39
"91年11月",-19.4,7.9,,-3.5,-24.6,-43.7,-24.9,-37.4
"91年12月",-19.7,-0.4,,9.3,-19.3,-43.8,-28.3,-39.3
"92年01月",-16.4,-1.9,,-15.9,-7.9,-52.2,-26.2,-44.4
"92年02月",-7,10,,-5.3,-3.5,-40.6,-17.5,-32.6
"92年03月",-2.3,14.7,,-20.1,7.9,-42.8,-16.4,-33.9
