"Date","国内総生産(支出側)","民間最終消費支出:家計最終消費支出","民間企業設備","民間最終消費支出","総資本形成","政府最終消費支出","公的固定資本形成","財貨・サービス:輸出","財貨・サービス:輸入"
"10年03月期",3.5,0.5,2.9,0.6,10,-3.7,-1.1,26.4,11.3
"10年06月期",5.5,4.1,5.5,4.1,8.3,6.7,-18.9,20.5,21.6
"10年09月期",7.4,5.7,4.4,5.7,15.7,1.7,0.4,11.8,8.2
"10年12月期",-3.2,-5.6,-1.1,-5.4,-1.1,1.7,-9.7,1.1,2.7
"11年03月期",-5.5,-7.6,8.1,-7.2,-2.1,1.9,-10.6,-3.5,5.7
"11年06月期",-2.6,3.5,-6.7,3.7,-3.1,1.5,13.9,-26.9,-2.5
"11年09月期",10.3,6.3,10.9,6.4,12.3,1.5,-9.8,42.9,13.8
"11年12月期",-0.6,1.9,21.7,2.1,3.9,0.9,-16.7,-10.8,7.5
"12年03月期",4.9,1.7,-2.7,1.8,9.9,4.8,40.1,13.1,7.1
"12年06月期",-2.9,0.5,2.9,0.7,-4.8,-1.3,-5.3,-4,8.9
"12年09月期",-1.5,-0.7,-2.1,-0.5,1.9,1.4,-10.7,-13.6,-1.4
"12年12月期",1.1,1.9,-0.9,1.9,-0.8,2.4,0.2,-13.3,-9.6
"13年03月期",5,5.3,-2.3,5.2,1.8,0,19.8,13.3,2
"13年06月期",3.1,3.2,17.8,3.2,1.8,4.8,3.6,14.5,14
"13年09月期",3.4,1.7,9.1,1.7,17.5,0.2,22.4,-0.3,8.4
"13年12月期",-0.1,-0.3,6.9,-0.4,10.1,0.5,5.8,-1.7,12.4
"14年03月期",4,8.8,10.1,8.3,-0.5,0.9,-2.5,26.8,26.7
"14年06月期",-7.5,-18.1,-7.2,-18,1.3,-2,-19.6,5.1,-14.9
"14年09月期",0.4,3.3,4.8,3,-5.5,1.8,8.3,6.2,7
"14年12月期",2,1,2.6,1,-1,0.9,9,12.6,3.1
"15年03月期",5.6,1.7,15.4,2,15.3,3.4,-5.4,5.2,3.8
"15年06月期",0.4,-0.4,-5.8,0,3.8,0.2,-3.9,-12.9,-9.4
"15年09月期",-0.2,1.2,2.2,1.5,-3.1,1.3,-1.8,10.1,12.4
"15年12月期",-1.5,-2.8,-1.2,-2.6,-3.2,3.5,-3.4,-3.5,-3.5
"16年03月期",2,0.5,-3.6,0.5,-2.4,4.7,0.5,2.6,-4.9
"16年06月期",0.6,-2.2,-2.5,-2.1,8.6,-3.5,5.6,-2.2,-4.8
"16年09月期",0.9,2.2,-1.6,2.2,-7.4,1.2,1.5,9,1.7
"16年12月期",1.2,0.1,6.2,0.1,-1.2,-0.3,-6,11.2,2.6
"17年03月期",4.7,3.5,7.6,3.4,9.5,1.8,2.2,9,7.3
"17年06月期",1.4,2.9,4.1,2.8,4.7,-1.5,10.5,0,5.9
"17年09月期",2.2,-2.6,2.4,-2.5,6.2,0.8,-9.9,8.4,-4.5
"17年12月期",1.9,2.1,6.1,2,4.1,0.4,1,8.7,11.6
"18年03月期",-1.9,-1.5,0.2,-1.5,-7.1,2.1,1.6,4.2,2.9
"18年06月期",1.8,1.1,8.5,0.8,5.5,0.1,10.9,3.2,3.4
"18年09月期",-3.3,-0.8,-16.1,-0.9,-9,0.6,-9.3,-8.8,-5.6
"18年12月期",2.3,1.7,19.3,1.7,12.6,2.5,-4.7,6.7,20
"19年03月期",2.6,0,-1.9,0.3,2.1,-0.7,9.9,-7,-16.9
"19年06月期",2.1,1.9,3.5,2.2,3.8,6.3,6.9,0.8,7.6
"19年09月期",0,1.6,0.8,1.8,-2.3,2.9,3.9,-2.4,2.9
"19年12月期",-7.2,-11.6,-17.7,-11.1,-12.4,0.8,1.9,1.7,-9.3
"20年03月期",-2.2,-3.3,8,-3,0.9,0.2,-2.2,-21.9,-18.3
"国内総生産:実質季節調整系列(年率):(単位:%) Source:内閣府",,,,,,,,,
"国内総生産",,,,,,,,,
