"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合小分類)(単位:100万円)(総務省)","穀類","いも･豆類","野菜","果実","その他の食用作物","非食用作物","畜産","農業サービス","育林","素材","特用林産物","海面漁業","内水面漁業","石炭･原油･天然ガス","砂利･砕石","その他の鉱物","畜産食料品","水産食料品","精穀･製粉","めん･パン･菓子類","農産保存食料品","砂糖･油脂･調味料類","その他の食料品","酒類","その他の飲料","飼料･有機質肥料(別掲を除く。)","たばこ","紡績糸","織物","ニット生地","染色整理","その他の繊維工業製品","織物製･ニット製衣服","その他の衣服･身の回り品","その他の繊維既製品","木材","その他の木製品","家具･装備品","パルプ","紙･板紙","加工紙","紙製容器","その他の紙加工品","印刷･製版･製本","化学肥料","ソーダ工業製品","その他の無機化学工業製品","石油化学系基礎製品","脂肪族中間物･環式中間物･合成染料･有機顔料","合成ゴム","その他の有機化学工業製品","合成樹脂","化学繊維","医薬品","油脂加工製品･界面活性剤","化粧品･歯磨","塗料･印刷インキ","農薬","その他の化学最終製品","石油製品","石炭製品","プラスチック製品","タイヤ･チューブ","その他のゴム製品","革製履物","なめし革･革製品･毛皮(革製履物を除く。)","ガラス･ガラス製品","セメント･セメント製品","陶磁器","建設用土石製品","その他の窯業･土石製品","銑鉄･粗鋼","鉄屑","熱間圧延鋼材","鋼管","冷延･めっき鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属屑","電線･ケーブル","その他の非鉄金属製品","建設用金属製品","建築用金属製品","ガス･石油機器･暖房･調理装置","その他の金属製品","ボイラ･原動機","ポンプ･圧縮機","運搬機械","冷凍機･温湿調整装置","その他のはん用機械","農業用機械","建設･鉱山機械","繊維機械","生活関連産業用機械","基礎素材産業用機械","金属加工機械","半導体製造装置","その他の生産用機械","事務用機械","サービス用･娯楽用機器","計測機器","医療用機械器具","光学機械･レンズ","武器","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置","電気計測器","その他の電気機械","通信機器","映像･音響機器","電子計算機･同附属装置","乗用車","トラック･バス･その他の自動車","二輪自動車","自動車部品･同附属品","船舶･同修理","鉄道車両･同修理","航空機･同修理","その他の輸送機械","がん具･運動用品","その他の製造工業製品","再生資源回収･加工処理","住宅建築","非住宅建築","建設補修","公共事業","その他の土木建設","電力","都市ガス","熱供給業","水道","廃棄物処理","卸売","小売","金融","保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道旅客輸送","鉄道貨物輸送","道路旅客輸送","道路貨物輸送(自家輸送を除く。)","自家輸送(旅客自動車)","自家輸送(貨物自動車)","外洋輸送","沿海･内水面輸送","港湾運送","航空輸送","貨物利用運送","倉庫","こん包","その他の運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務(中央)","公務(地方)","学校教育","社会教育･その他の教育","学術研究機関","企業内研究開発","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸業(貸自動車業を除く。)","貸自動車業","広告","自動車整備","機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","家計消費支出","対家計民間非営利団体消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出(直接購入)","輸出計","最終需要計","需要合計","(控除)輸入","(控除)輸入(直接購入)","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"その他の食料品",0,0,0,0,0,0,27326,0,0,0,10340,4196,0,0,0,0,28192,12461,0,467538,184,33249,602422,29455,3189,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,10,954,2599,12441,0,0,0,62225,0,25201,45871,0,0,0,0,0,0,0,45043,791194,0,0,8122,0,0,2214432,126742,3986480,0,0,0,0,0,-1163,4112059,6326491,58454,1010,59464,4171523,6385955,-234995,-5973,-35538,-21471,-297977,3873546,6087978
"酒類",0,0,0,0,0,0,818,0,0,0,0,0,0,0,0,0,46,2982,0,2763,1439,4000,586,57920,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3423,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97011,1614951,0,0,6680,0,14328,1807251,159892,1781017,0,0,0,0,0,-13488,1927421,3734672,34942,8625,43567,1970988,3778239,-337246,-43058,-21706,-110150,-512160,1458828,3266079
"その他の飲料",0,0,0,0,0,0,0,35,0,0,0,20455,130,0,0,0,17883,478,0,6077,5588,77,10120,3611,312288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,55,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6871,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,5,596,389,2473,0,0,0,22486,0,12779,24066,0,0,0,0,0,0,398,22583,516285,0,5,4301,0,0,993863,122769,2737140,0,0,0,0,0,-7710,2852199,3846062,35377,1353,36730,2888929,3882792,-124924,-1178,-8747,-10693,-145542,2743387,3737250
"飼料･有機質肥料(別掲を除く。)",16804,1245,13271,2978,1805,11028,1189364,16902,20,0,8098,62177,16565,0,0,0,-79,0,0,0,0,0,0,0,0,68716,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,0,0,0,0,0,0,0,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7855,10741,59564,1837,0,579,230,0,0,0,0,0,0,0,0,0,0,11351,0,0,0,1506716,0,179899,0,0,0,0,0,6694,186593,1693309,7936,0,7936,194529,1701245,-177440,-216,-759,-14256,-192671,1858,1508574
"たばこ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170568,3286851,0,0,0,0,0,24594,3482013,3482013,22188,57090,79278,3561291,3561291,-381041,-8876,-324,-1009463,-1399704,2161587,2161587
"紡績糸",0,0,0,0,0,0,0,59,0,0,0,1073,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,537,53762,19064,0,16723,31999,4670,60521,0,102,397,0,0,604,51,1672,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,3346,0,13560,438,1042,31,0,0,0,122,0,0,0,0,0,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0,536,0,111,4,3,1056,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,28,1644,0,52,216757,0,5466,0,0,0,0,0,-8172,-2706,214051,15373,0,15373,12667,229424,-89032,-22,-1089,-7210,-97353,-84686,132071
"織物",113,0,0,0,0,0,0,5,1,0,185,10,7,0,0,0,0,0,0,0,0,3,0,0,68,0,25,1423,195,423,343,2170,139945,8221,56731,0,93,6368,375,1977,32,0,4456,308,52,0,0,0,0,0,0,0,0,0,0,0,2,0,108,0,0,1971,8379,16035,170,1467,223,2,0,0,2132,0,0,0,0,0,4,0,0,0,1321,37,0,70,0,180,0,0,32,24,24,0,0,32,7,3,0,1012,7,0,0,36,82,4,2,1794,538,0,847,0,0,952,0,135,0,1710,10,0,8308,3089,392,72,11,1319,1517,0,533,373,2794,0,0,0,0,0,38,2,958,1461,22,0,0,0,0,185,2,41,1,0,0,147,189,288,10,8,20,292,109,0,0,1,815,0,125,214,91,5,1,1,0,208,337,52,49,44,142,0,0,12,0,1915,252,2,78,2098,85,2723,455,294767,200,17451,0,0,0,0,0,-28458,-10807,283960,264269,3607,267876,257069,551836,-138088,-93,-5260,-11468,-154909,102160,396927
"ニット生地",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,38165,6957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,22,0,0,3,45387,448,608,0,0,0,0,0,-2484,-1428,43959,58185,91,58276,56848,102235,-14307,-12,-888,-1216,-16423,40425,85812
"染色整理",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8340,75177,4271,0,81378,105111,5616,21425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,307473,0,0,0,0,0,0,0,0,0,307473,0,0,0,0,307473,0,0,0,0,0,0,307473
"その他の繊維工業製品",868,5,19,0,49,7,94,32,24,64,1245,21205,186,0,6,0,0,3,0,0,0,20,0,0,1055,0,59,14310,1564,3245,803,3510,14860,3454,27857,397,231,10959,2067,2434,268,518,26613,1091,333,0,0,0,0,0,0,0,0,2,0,0,114,0,90,1,0,2012,19244,809,462,5183,1980,21,0,0,1155,0,0,0,0,0,40,0,0,0,609,360,3,695,298,1833,0,0,274,92,141,0,0,13,39,16,0,8322,38,0,0,277,384,0,3,9646,547,0,5127,0,0,525,0,767,0,10360,222,0,9913,3737,606,349,21,3513,2149,32,7243,4500,28367,1434,303,0,0,0,497,214,11143,13908,238,0,15,0,0,3275,5,488,520,0,134,1945,2812,5798,156,536,550,3692,1554,49,114,31,6531,8,902,2138,597,89,21,13,0,2472,4198,741,693,509,1512,0,0,128,0,13978,2829,14,859,18105,1311,21703,75,400426,627,57005,0,0,0,554,48324,12899,119409,519835,180725,87,180812,300221,700647,-194012,-55,-2893,-15752,-212712,87509,487935
"織物製･ニット製衣服",3318,1238,9832,7850,1326,2367,2300,185,4,6,109,7343,168,769,2073,363,5252,3148,1100,11736,1255,2582,6552,256,3566,47,81,190,754,78,1322,540,5984,1624,4037,621,3087,2220,139,4690,1025,2310,1266,1613,457,393,1037,98,1289,229,1537,1109,356,6852,742,842,1311,126,2446,150,248,3092,2152,3832,70,150,2140,2359,2791,591,2682,586,0,2436,253,2096,2222,1074,451,0,758,2927,2237,1818,649,6421,827,1971,629,1729,5092,806,1780,391,740,550,3943,1241,2263,813,1565,1338,791,286,818,13609,20527,14817,2934,533,1066,2907,5759,239,1886,2652,262,2,8498,2097,771,794,189,752,4456,1495,8649,6239,16279,4017,3293,2037,799,15,2724,8505,121522,180006,37390,11933,1177,221,0,7606,136,4466,12819,1234,3570,889,3670,1662,4978,268,387,760,9301,2022,6852,3234,18420,3047,11764,981,80946,443,708,8169,5890,25753,6088,33297,11991,108665,6812,155,2661,5857,3532,79188,1677,9166,11575,32885,18014,0,927,1240424,14964,3149286,0,0,0,0,146988,77378,3388616,4629040,34206,45276,79482,3468098,4708522,-2987819,-9590,-209404,-255437,-3462250,5848,1246272
"その他の衣服･身の回り品",2934,10,132,124,16,30,20,12,1,1,1,161,4,0,55,8,58,108,34,218,44,124,236,5,84,2,3,16,69,7,29,49,1738,2297,57,26,115,283,1,415,36,197,114,5,40,31,144,25,54,9,99,31,32,101,87,20,217,3,371,3,43,892,281,291,7,211,253,176,330,54,247,114,0,99,11,52,44,61,52,0,17,47,95,115,24,65,15,49,86,66,168,76,158,35,12,14,214,112,288,56,0,88,131,68,159,727,1581,800,189,69,146,290,170,75,114,170,61,3,261,66,110,10,21,364,1294,54,21,19,50,1839,689,277,611,0,709,599,5732,5667,893,1624,0,0,0,361,5,147,173,30,143,72,1161,132,8,7,40,26,311,21,73,85,47,10,69,288,2452,233,7,1482,242,1993,60,318,404,1520,338,12,84,35,369,1600,252,432,890,1022,1428,0,235,60444,26219,555770,0,0,0,0,0,23134,605123,665567,6486,1442,7928,613051,673495,-397319,-64464,-23178,-33340,-518301,94750,155194
"その他の繊維既製品",4241,349,1,5,0,50,31,4419,19,0,0,1959,92,0,35,0,26,3,2,0,1,49,0,77,73,1,12,0,133,66,0,46,5746,1944,6243,4,3,1103,0,32,0,325,370,3,1348,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,8,0,304,5,43,2576,1,0,0,43,0,0,0,0,0,0,0,0,0,66,0,1,0,0,6,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,234,0,0,0,8585,0,0,0,0,0,0,31565,3008,0,2836,446,56,0,0,8319,1955,0,35128,48711,3213,9195,8109,0,0,0,324,39,46265,13942,1144,123,767,30,0,843,4,499,868,15,82,363,1603,1249,258,25,1496,1661,1461,417,204,195,0,40,245,8252,35118,1150,21,3524,0,69224,2101,21949,16215,1114,28644,23,0,124,0,867,45528,8983,17796,3683,15383,4115,565,551942,68183,608992,0,0,0,279,123376,76033,876863,1428805,20378,17706,38084,914947,1466889,-613944,-758,-26625,-51246,-692573,222374,774316
"木材",0,0,0,0,0,0,12684,0,873,-475,4132,0,0,95,392,0,3362,807,0,0,0,0,0,0,0,5917,0,0,1,0,0,11,0,40,13,132640,281583,136097,292650,0,25,0,7932,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,24,0,101,0,38,28,0,0,74,0,123,0,0,0,0,0,0,25,5581,124,1379,7,50,0,319,5,32,175,3,58,0,0,0,7,0,5211,157,95,0,1,0,0,4,196,0,0,3,0,215,0,251,481,0,531,3522,1889,35,0,409,13549,0,831597,140143,115209,15439,24262,47518,0,0,0,0,0,0,0,0,0,15,108,0,0,0,0,0,0,0,0,0,0,0,0,27459,0,0,0,0,0,0,510,623,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,4897,0,0,0,809,771,0,0,2123599,0,77,0,0,0,-4,-334,-7393,-7654,2115945,9835,0,9835,2181,2125780,-820163,0,-21468,-67330,-908961,-906780,1216819
"その他の木製品",0,0,127,274,0,52,56,93,72,7,42,2422,25,1,11,5,458,3512,0,939,592,134,1704,1798,219,0,1,2,7,3,252,24,422,140,87,461,9181,64293,0,0,0,137,0,62,86,0,0,0,256,0,516,48,0,58,0,0,557,0,1412,0,0,1484,0,100,430,61,7814,95,15910,1173,2371,0,0,0,0,387,646,22,0,0,7441,3513,57,40,18,3456,13,364,7,341,345,30,135,46,174,187,1522,17,441,243,1777,1618,952,16,712,340,1081,1567,759,32,202,1193,181,18,71,490,1694,0,6635,4926,2129,19,96,1165,92337,0,817484,87886,57460,6876,12555,392,32,0,0,15,55037,18692,3024,0,2,0,0,23,1,0,9,0,0,0,2,816,14,2,1035,36246,173,56,659,440,293,113,524,610,174,377,187,618,1368,45,885,329,266,600,425,0,4,40,0,5235,1137,24523,1768,5015,4120,0,107,1407135,5371,47270,0,1731,0,672,17579,-3804,68819,1475954,9906,15993,25899,94718,1501853,-282142,-611,-6002,-23032,-311787,-217069,1190066
"家具･装備品",0,0,0,0,0,0,0,45,27,78,3,543,64,670,805,136,1395,636,164,2760,343,1087,3819,124,3741,22,448,77,265,69,281,472,832,153,446,602,133,50325,45,3129,728,1925,817,2072,399,346,1543,161,1621,666,1459,1039,320,11305,347,372,997,72,2212,76,160,9401,1333,2614,40,11,431,1708,3284,356,1935,839,0,1151,289,838,1786,12,153,0,358,1740,397,1050,163,1627,220,393,695,522,1548,604,747,424,232,377,1763,1430,579,265,610,1277,537,73,23,6491,7220,6182,3096,480,1278,2140,3313,5180,5741,4082,1475,64,8223,14062,1682,561,264,474,13047,127,248635,60521,273537,825,1013,12948,1358,360,12749,12794,66517,49394,45351,40638,6608,15683,7659,2318,38,1378,5223,0,0,615,2442,1432,2076,320,4686,349,15940,477,45205,3165,69289,10661,13163,5920,29776,42676,5234,17068,50893,77898,1449,75471,35149,62749,13914,1320,4107,1565,862,88624,15271,71268,4991,43785,26265,0,1449,1944464,20925,137192,0,344,0,13515,427916,-27976,571916,2516380,76103,2140,78243,650159,2594623,-689742,-4663,-1830,-55230,-751465,-101306,1843158
"パルプ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,938,0,110,0,0,187,0,0,0,0,55,0,0,952424,-14134,-30332,7964,-21066,0,0,0,0,0,0,0,2817,11198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3954,0,0,0,0,0,0,0,0,0,0,0,0,-51836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818932,-49500,-138828,0,0,0,0,0,2348,-185980,632952,122273,0,122273,-63707,755225,-161430,0,0,-12914,-174344,-238051,580881
"紙･板紙",0,0,0,0,0,0,0,100,0,0,0,297,29,0,0,0,0,0,0,0,0,0,0,0,3766,0,5717,0,28,89,0,176,640,202,4124,0,8915,3766,0,460,444250,123167,237140,674632,0,0,281,0,5,0,0,8,0,1070,2631,2729,0,0,15970,0,0,17733,1642,8381,70,177,324,0,2797,10403,2464,0,0,0,0,1060,0,0,0,0,1536,476,0,0,33,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,809,1073,33,0,0,9220,6263,319,0,0,2001,3555,85,0,0,0,0,9099,0,0,0,0,4115,12074,124,855,33,104,0,0,0,0,0,0,869,0,7295,12555,4141,0,0,353,0,0,0,0,0,0,332,75,0,308,14,2499,20730,225,0,0,0,112308,0,441338,2486,3939,40417,4522,13201,62200,0,5272,12124,8684,8926,0,0,0,0,0,86116,5086,0,2908,5492,88,174094,1911,2667563,11301,38168,0,0,0,0,0,-22760,26709,2694272,103239,18,103257,129966,2797529,-137729,-568,0,-11018,-149315,-19349,2648214
"加工紙",0,0,50,151,0,519,0,37,0,0,0,0,0,0,0,0,224,734,0,5473,0,7,0,2,0,42,1711,0,47,0,407,87,309,155,148,12073,1991,19982,0,0,0,578675,16410,573,0,0,2397,0,0,0,0,0,700,12877,3,5,109,0,1330,0,0,22589,0,0,2,11,15023,0,7319,116,1911,0,0,0,28,0,0,506,0,0,3008,1040,0,802,31,3400,0,0,2,1520,5140,194,1,89,0,79,1314,0,1591,0,0,354,0,0,46,5876,22610,31694,5273,60,335,8032,660,1687,2791,4,18,0,3872,47,1,0,0,2034,21360,0,100750,14670,30308,11,6,0,0,0,1,12,135,123,44,51,0,0,3715,0,0,0,3803,0,0,4,0,1,0,1333,5826,40294,4,0,2057,6,93,944,8183,4,8,21,14,28,39,12,0,21,20,22,0,0,21,0,2538,1921,1,2,3,0,303,4311,366,1051727,38,760,0,0,0,0,0,-16558,-15760,1035967,79009,0,79009,63249,1114976,-89649,0,0,-7172,-96821,-33572,1018155
"紙製容器",5816,0,146043,33982,0,7067,23537,28336,7,0,3447,1764,114,0,0,0,76379,52341,6565,118192,12930,38497,81920,70696,116964,2204,10524,169,82,23,400,881,3071,1131,2627,0,1825,17017,0,2453,73,2208,7017,5053,1488,377,1737,0,3398,2075,2568,7228,3857,144078,27335,82447,2656,5158,11198,0,0,15290,31,2561,995,1123,15960,7451,16207,305,6247,0,0,0,0,0,7,1285,0,0,247,854,190,114,9215,13386,23,1488,220,235,3184,511,758,200,52,48,3620,215,718,3748,534,1006,12396,507,33,4554,19937,13549,12036,141,1277,12918,4080,2092,1670,0,0,0,7842,26,118,0,532,4296,14327,480,0,0,0,0,0,0,0,0,0,0,271452,193031,7710,5803,596,0,0,0,0,0,6197,0,0,0,0,0,114,10,1518,39957,89,386,1852,17,6,644,4253,418,1133,5699,478,16984,5282,1073,5145,0,40,1947,73,0,0,0,0,732,482,11759,0,239,2068,0,647,1985628,2236,14593,0,0,0,0,0,-9040,7789,1993417,4881,3,4884,12673,1998301,-51633,-22,0,-4131,-55786,-43113,1942515
"その他の紙加工品",0,0,0,6230,1060,32,0,565,0,0,0,0,0,0,0,0,0,417,0,1555,0,0,0,2069,0,0,318,3,124,11,414,279,915,152,1091,305,410,2188,0,1777,25,572,32871,266,20,7,10,0,6,24,20,107,39,3139,1061,2119,115,0,677,0,28,8384,4,55,162,313,637,135,397,2,81,0,0,0,0,0,3,0,0,0,64,2,4,14,1,114,0,3,1,0,132,36,209,195,55,1,159,2,42,73,20,582,458,2,0,505,3449,617,919,15,394,2294,288,202,0,889,228,0,689,71,163,5,14,245,1377,674,224,358,25338,1,0,0,0,0,212,3030,36218,117883,19604,16130,0,0,0,1994,1,244,264,0,0,947,1810,227,1329,202,1918,5649,7166,124,2400,1507,19349,778,532,1498,3193,5600,3501,5465,7608,39950,473,62823,41567,6362,40,0,4216,35,0,39748,2935,69231,2583,4771,9249,453691,1211,1117590,81682,245391,0,0,0,0,0,19334,346407,1463997,167722,65,167787,514194,1631784,-108802,-431,-24,-8706,-117963,396231,1513821
"印刷･製版･製本",0,0,0,0,0,698,0,253,12,9,2,691,34,138,151,74,53868,14538,17744,93350,10259,18585,54322,1418,9531,254,3007,16,108,40,137,84,6238,610,1079,896,1407,6075,83,362,570,10440,34216,246832,121,33,226,199,797,86,428,340,2140,16031,4883,21706,6344,2261,12852,200,140,3892,861,2176,9,252,7255,253,1183,20,374,164,0,159,48,680,2537,117,415,0,292,4133,631,806,20448,5653,1360,2871,1637,3914,3439,734,4978,262,1367,2863,7527,938,2075,11974,6250,4480,1812,762,600,40562,16166,9748,32141,1151,2755,1978,12365,11541,7712,21208,3587,224,10316,3120,3655,6950,1422,328,22529,2696,7517,11320,10219,5942,2755,25811,14700,704,13084,15721,194181,350115,313979,239113,4599,449,0,11385,50,2105,21494,0,0,99,1870,1951,1861,1733,2151,80,54512,10238,119921,11083,131792,30352,602150,104146,183671,101997,33111,67628,296220,104792,11503,78763,17718,180586,11689,251,310363,4524,8533,119770,2452,13631,10770,60443,28352,0,262,4947484,16875,42974,0,0,0,0,0,-6897,52952,5000436,36313,42,36355,89307,5036791,-59353,-247,0,-4748,-64348,24959,4972443
"化学肥料",107929,32756,98159,27713,24048,32767,0,509,73,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,183,3,0,0,1,0,0,7,6,0,0,0,19,0,9,0,0,0,26,14,71523,-944,13350,0,29099,47,12294,6399,176,7804,1374,0,35,39,16067,40,-4359,0,0,115,0,5,81,0,0,0,137,-15936,0,0,0,4028,0,0,273,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,34,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,5010,1676,2469,415,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,6,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393,4340,0,6049,488558,0,7071,0,0,0,0,0,-349,6722,495280,13576,0,13576,20298,508856,-110939,0,-41,-8879,-119859,-99561,388997
"ソーダ工業製品",0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,1856,510,0,864,232,4325,190,30,354,109,0,3,1,3,6639,67,891,82,301,0,80,0,13676,10072,39,0,1150,0,177,45953,49657,1072,33590,2764,42687,8048,2333,55064,10086,28,0,5520,24967,163,70,1163,1,0,0,42,16229,0,3262,167,333,61,0,22,17,4868,0,0,5447,0,0,178,19,37,46,695,3,6,3,29,516,27,1,33,11,207,153,20,1589,891,56,0,0,9,0,2496,3169,300,43,637,1,2337,4498,286,1269,0,0,0,1707,129,0,16,69,191,62,124,0,0,0,293,215,0,0,0,14944,6598,0,0,0,0,0,0,0,205,1,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,75,0,0,0,0,4562,0,2933,0,0,0,0,0,0,0,0,0,4,0,10949,6296,17,0,1264,425663,0,5,0,0,0,0,0,-1765,-1760,423903,31995,0,31995,30235,455898,-14271,0,-483,-1180,-15934,14301,439964
