"Date","総合(ウエイト=10000)","生鮮食品を除く総合(ウエイト=9586)","食料(酒類を除く)及びエネルギーを除く総合(ウエイト=6713)","生鮮食品及びエネルギーを除く総合(ウエイト=8802)"
"87年12月",0.8,0.6,1.3,0.7
"88年01月",0.9,0.7,1.3,0.8
"88年02月",0.7,0.5,1.1,0.7
"88年03月",0.7,0.4,1.1,0.6
"88年04月",0.3,0.3,1.1,0.7
"88年05月",0.2,0.4,1.2,0.8
"88年06月",0.2,0.3,1,0.7
"88年07月",0.5,0.2,0.8,0.5
"88年08月",0.7,0.3,0.9,0.6
"88年09月",0.6,0.4,1,0.7
"88年10月",1.1,0.5,1.2,0.9
"88年11月",1.2,0.6,1.2,1
"88年12月",1,0.7,1.3,1
"89年01月",1.1,0.8,1.4,1
"89年02月",1,0.9,1.5,1.1
"89年03月",1.1,1.1,1.5,1.3
"89年04月",2.4,2.5,2.4,2.7
"89年05月",2.9,2.8,2.8,3
"89年06月",3,2.9,2.8,3
"89年07月",3,3,2.8,3.1
"89年08月",2.6,2.9,2.8,3
"89年09月",2.6,2.9,3,3.2
"89年10月",2.9,2.9,2.9,3.1
"89年11月",2.3,2.9,2.8,3.1
"89年12月",2.6,2.9,2.8,3.1
"90年01月",3,3,2.9,3.2
"90年02月",3.6,3,2.8,3.1
"90年03月",3.5,3.1,2.9,3.2
"90年04月",2.5,2.1,2.3,2.1
"90年05月",2.7,2.1,2.5,2.1
"90年06月",2.2,2,2.4,2
"90年07月",2.3,2,2.4,2.1
"90年08月",2.9,2.3,2.5,2.4
"90年09月",3,2.5,2.5,2.4
"90年10月",3.5,2.9,2.4,2.6
"90年11月",4.2,3.2,2.8,2.8
"90年12月",3.8,3.3,2.7,2.9
"91年01月",4,3.2,2.5,2.9
"91年02月",3.6,3.2,2.5,2.9
"91年03月",3.6,3.1,2.6,3
"91年04月",3.4,3,2.4,2.9
"91年05月",3.4,3,2.6,3
"91年06月",3.4,3.1,2.6,3.1
"91年07月",3.5,3.1,2.7,3.1
"91年08月",3.3,3,2.5,3
"91年09月",2.7,2.8,2.6,2.8
"91年10月",2.7,2.5,2.7,2.8
"91年11月",3.1,2.3,2.7,2.7
"91年12月",2.7,2.3,2.6,2.8
"92年01月",1.8,2.1,2.3,2.4
"92年02月",2,2.3,2.6,2.7
"92年03月",2,2.3,2.7,2.6
"92年04月",2.4,2.5,2.9,2.8
"92年05月",2,2.5,2.7,2.7
"92年06月",2.3,2.5,2.9,2.7
"92年07月",1.7,2.2,2.5,2.4
"92年08月",1.7,2.2,2.7,2.4
"92年09月",2,2.2,2.4,2.4
"92年10月",1.1,2.1,2.4,2.3
"92年11月",0.7,2.1,2.3,2.3
"92年12月",1.2,2,2.3,2.1
"93年01月",1.3,1.7,1.9,1.9
"93年02月",1.4,1.7,1.8,1.8
"93年03月",1.2,1.6,1.5,1.7
"93年04月",0.9,1.4,1.5,1.4
"93年05月",0.9,1.2,1.4,1.3
"93年06月",0.9,1.2,1.2,1.3
"93年07月",1.9,1.2,1.5,1.3
"93年08月",1.9,1.2,1.4,1.3
"93年09月",1.5,1.1,1.4,1.2
"93年10月",1.3,1.1,1.3,1.2
"93年11月",0.9,0.9,1.1,1.1
"93年12月",1,0.8,0.9,0.9
"94年01月",1.2,0.9,1,1.1
"94年02月",1.1,0.9,0.9,1
"94年03月",1.3,0.9,0.9,1.1
"94年04月",0.8,0.9,0.8,1.1
"94年05月",0.8,1,0.9,1.2
"94年06月",0.6,0.8,0.9,1
"94年07月",-0.2,0.8,0.7,0.9
"94年08月",0,0.8,0.7,0.9
"94年09月",0.2,0.6,0.8,0.7
"94年10月",0.7,0.5,0.7,0.7
"94年11月",1,0.5,0.8,0.6
"94年12月",0.7,0.5,0.9,0.6
"95年01月",0.6,0.3,0.8,0.4
"95年02月",0.2,0.2,0.8,0.3
"95年03月",-0.4,0.1,0.8,0.2
"95年04月",-0.2,-0.1,0.6,0.1
"95年05月",0,-0.2,0.6,-0.1
"95年06月",0.3,-0.2,0.6,-0.1
"95年07月",0.1,-0.2,0.5,-0.1
"95年08月",-0.2,-0.3,0.6,-0.2
"95年09月",0.2,0.2,0.8,0.3
"95年10月",-0.6,0.1,0.6,0.2
"95年11月",-0.7,0.1,0.6,0.3
"95年12月",-0.3,0.1,0.6,0.3
"96年01月",-0.5,-0.2,0.6,0.1
"96年02月",-0.4,0,0.4,0.3
"96年03月",-0.1,0,0.5,0.3
"96年04月",0.2,0.1,0.5,0.3
"96年05月",0.2,0.1,0.6,0.3
"96年06月",0,0.2,0.6,0.4
"96年07月",0.4,0.3,0.5,0.5
"96年08月",0.2,0.2,0.5,0.4
"96年09月",0,0.2,0.3,0.4
"96年10月",0.5,0.2,0.6,0.3
"96年11月",0.5,0.4,0.5,0.5
"96年12月",0.6,0.3,0.3,0.4
"97年01月",0.6,0.5,0.4,0.4
"97年02月",0.6,0.4,0.5,0.3
"97年03月",0.5,0.5,0.5,0.4
"97年04月",1.9,2,1.6,1.9
"97年05月",1.9,2.1,1.6,2
"97年06月",2.2,2,1.6,1.9
"97年07月",1.9,2,1.7,1.9
"97年08月",2.1,2.1,1.6,2
"97年09月",2.4,2.4,2.3,2.3
"97年10月",2.5,2.4,2.3,2.4
"97年11月",2.1,2.2,2.3,2.2
"97年12月",1.8,2.2,2.4,2.2
"98年01月",1.8,2,2,2.1
"98年02月",1.9,1.8,2.1,2
"98年03月",2.2,1.8,2.1,2.1
"98年04月",0.4,0.2,0.8,0.6
"98年05月",0.5,0,0.7,0.4
"98年06月",0.1,0,0.6,0.4
"98年07月",-0.1,-0.1,0.5,0.3
"98年08月",-0.3,-0.1,0.7,0.3
"98年09月",-0.2,-0.5,-0.1,-0.1
"98年10月",0.2,-0.4,-0.2,-0.1
"98年11月",0.8,-0.3,-0.2,0.1
"98年12月",0.6,-0.3,-0.1,0
"99年01月",0.2,-0.1,0,0.2
"99年02月",-0.1,-0.1,-0.2,0.1
"99年03月",-0.4,-0.1,-0.2,0.1
"99年04月",-0.1,-0.1,0,0
"99年05月",-0.4,0,-0.1,0.1
"99年06月",-0.3,0,0,0.1
"99年07月",-0.1,0,-0.1,0.1
"99年08月",0.3,0,-0.1,0.1
