"Date","女:15~64歳:15~24","女:15~64歳:25~34","女:15~64歳:35~44","女:15~64歳:45~54","女:15~64歳:55~64","女:15~64歳","女:総数","男:15~64歳:15~24","男:15~64歳:25~34","男:15~64歳:35~44","男:15~64歳:45~54","男:15~64歳:55~64","男:15~64歳","男:総数"
"95年12月",6.2,4.9,2.8,2.2,2.2,3.5,3.4,6.7,3.5,2.3,2,5.1,3.5,3.4
"96年01月",7.4,5.2,2.8,2,2.6,3.8,3.6,6.4,3.6,2,1.9,5.5,3.5,3.4
"96年02月",6.7,5,2.6,1.9,2.5,3.6,3.4,6.9,3.3,2,1.8,5.3,3.4,3.3
"96年03月",6.1,5,2.3,1.8,2.4,3.4,3.2,6.8,3.2,2.1,1.9,4.7,3.3,3.3
"96年04月",6.4,5.7,2.5,2,2.9,3.7,3.5,6.5,3.3,2,2,4.8,3.4,3.3
"96年05月",6.5,5.2,2.2,1.8,2.5,3.5,3.3,7,3.3,2.3,2.1,5.4,3.6,3.5
"96年06月",6.4,5.1,2.7,1.7,2.3,3.5,3.3,7.1,3.2,2.2,2.2,5.2,3.6,3.5
"96年07月",6.6,5.6,2.5,1.9,2.6,3.7,3.5,6.8,3,2,2.2,5.1,3.4,3.3
"96年08月",5.8,4.8,2.7,2,2.6,3.4,3.2,6.4,3,2.2,2,5.5,3.4,3.3
"96年09月",6.4,4.8,2.5,2,2.4,3.5,3.3,6.7,3.2,2.1,1.9,5.2,3.4,3.3
"96年10月",6.9,4.7,2.6,2.3,2.1,3.5,3.4,6.9,3.2,2.2,2.2,5.3,3.5,3.4
"96年11月",5.8,5.3,2.8,2,2.3,3.5,3.3,6.4,3.3,2.2,2.1,4.5,3.4,3.3
"96年12月",6.4,5.1,2.6,2,2.7,3.6,3.4,6.5,3.4,2.1,1.8,5.3,3.5,3.3
"97年01月",6.2,4.8,2.6,2.3,2.8,3.6,3.4,7.1,3,2.2,1.9,5.1,3.4,3.3
"97年02月",6.4,5.2,2.5,2.3,2.6,3.7,3.4,6.6,3.3,2.3,2.1,4.9,3.5,3.3
"97年03月",6.4,5.4,2.3,2.2,2,3.5,3.3,6.6,3.1,2.1,2.1,4.8,3.3,3.2
"97年04月",6.3,5.5,2.2,2,2.2,3.5,3.3,6.5,3.3,1.9,1.9,4.7,3.3,3.2
"97年05月",6.7,6,2.6,2.3,2.4,3.9,3.7,7.2,3.1,1.9,2.1,4.6,3.3,3.2
"97年06月",6.6,5.7,2.6,2.1,2.2,3.7,3.5,6.9,3.2,2,2.1,4.7,3.4,3.3
"97年07月",6.3,5.4,2.5,2,2.5,3.6,3.4,6.5,3.6,2.3,2,4.9,3.5,3.4
"97年08月",6.2,5.4,2.8,1.8,2.4,3.5,3.4,6.9,3.7,2.3,2,4.8,3.5,3.4
"97年09月",6.2,5.1,2.9,1.7,2.6,3.5,3.3,6.8,3.6,2.3,2.3,5.3,3.7,3.5
"97年10月",6.7,5.8,2.5,1.8,2.5,3.7,3.5,6.7,3.6,2.2,2.1,5.5,3.6,3.5
"97年11月",6.9,5.6,2.6,2.1,2.2,3.7,3.5,6.9,3.2,2.3,2.3,5.6,3.6,3.5
"97年12月",6.6,6,2.7,2,2.2,3.7,3.5,7.3,3.2,2.2,2.2,5.5,3.6,3.5
"98年01月",6.5,5.3,2.7,1.8,2.3,3.6,3.4,8,3.8,2.2,2.1,5.6,3.8,3.7
"98年02月",6.6,5.3,2.9,2,2.6,3.7,3.5,7.7,3.5,2.3,2.3,6,3.8,3.7
