"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-10-01",-65978,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-10-08",-75413,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-10-15",-76866,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-10-22",-51050,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-10-29",-53355,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-11-05",-60746,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-11-12",-57669,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-11-19",-62503,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-11-26",-61416,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-12-03",-69049,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-12-10",-67643,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-12-17",-65694,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-12-24",-72943,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-12-31",-74345,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-01-07",-61664,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-01-14",-48182,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-01-21",-47019,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-01-28",-58862,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
