"Date","経常収支","経常収支:貿易・サービス収支:貿易収支","経常収支:貿易・サービス収支:貿易収支:輸出","経常収支:貿易・サービス収支:貿易収支:輸入","サービス収支:旅行"
"03年05月",13993,8356,40446,32089,-1217
"03年06月",11078,9892,41544,31652,-1193
"03年07月",15049,9928,43452,33524,-1577
"03年08月",14492,9816,40494,30677,-2081
"03年09月",16549,13173,45845,32671,-2594
"03年10月",13056,12780,46127,33347,-2340
"03年11月",15518,11658,42813,31155,-2147
"03年12月",12562,12940,46589,33650,-2399
"04年01月",11535,6921,40388,33467,-2172
"04年02月",22252,15670,45043,29374,-2127
"04年03月",19169,13711,51299,37588,-2286
"04年04月",16532,12913,48369,35456,-1950
"04年05月",18176,11434,44544,33110,-2150
"04年06月",13747,13221,49829,36608,-2403
"04年07月",17298,13536,49996,36460,-2421
"04年08月",15356,8022,45227,37205,-2822
"04年09月",18362,14687,51417,36730,-2997
"04年10月",14305,13764,51641,37877,-2618
"04年11月",13233,7449,48689,41240,-2652
"04年12月",16974,12910,50595,37686,-2592
"05年01月",8294,4494,42437,37943,-2539
"05年02月",21533,13176,46410,33234,-2124
"05年03月",18531,13035,55404,42369,-2468
"05年04月",16631,12325,52695,40370,-1839
"05年05月",14509,5322,46067,40745,-2079
"05年06月",11370,10774,52497,41722,-2224
"05年07月",17320,11361,53151,41791,-2079
"05年08月",12503,3763,50104,46342,-2743
"05年09月",18651,12591,56868,44278,-2782
"05年10月",14523,10754,56720,45967,-2311
"05年11月",14580,8309,56603,48294,-2277
"05年12月",18832,11810,61140,49330,-2192
"06年01月",7855,-616,48212,48828,-1565
"06年02月",23195,11934,56386,44451,-1765
"06年03月",24159,12351,65507,53155,-1957
"06年04月",13796,8957,58846,49889,-1448
"06年05月",16895,6055,54774,48719,-1684
"06年06月",10809,9820,60054,50234,-1810
"06年07月",18327,10592,60294,49702,-1663
"06年08月",15234,4658,58651,53993,-2135
"06年09月",21004,12801,65214,52413,-2016
"06年10月",15790,9021,62875,53854,-1769
"06年11月",17935,11723,63150,51427,-1889
"06年12月",18309,13405,66306,52901,-1707
"07年01月",12159,2609,56701,54091,-1744
"07年02月",25003,12493,61316,48822,-1646
"07年03月",33604,19043,71832,52789,-1903
"07年04月",19601,11765,63313,51548,-1429
"07年05月",21242,6763,62752,55990,-1512
"07年06月",15384,14815,69541,54727,-1665
"07年07月",18729,9464,67251,57788,-1508
"07年08月",21046,10479,66949,56471,-2011
"07年09月",28814,19445,69127,49682,-1867
"07年10月",21630,13099,71473,58374,-1630
"07年11月",16678,10587,69040,58453,-1691
"07年12月",15600,11313,70940,59627,-1593
"08年01月",11132,2391,61519,59129,-1516
"08年02月",24794,12771,66996,54225,-1559
"08年03月",28725,13973,73723,59751,-1638
"08年04月",12159,7348,66135,58787,-1135
"08年05月",18104,6013,65198,59185,-1345
"08年06月",2828,3725,68596,64871,-1408
"08年07月",13773,4518,73143,68625,-1329
"08年08月",8701,73,67385,67312,-1692
"08年09月",14479,4874,70722,65848,-1607
"08年10月",8625,2784,66015,63231,-1406
"08年11月",5046,467,50683,50215,-1470
"08年12月",418,-906,45995,46901,-1528
"09年01月",-2219,-7187,33063,40250,-932
"09年02月",10443,2749,33172,30423,-1423
"09年03月",14527,2225,39346,37121,-1333
"09年04月",6433,2688,39168,36480,-965
"09年05月",12880,5087,37687,32599,-938
"09年06月",12876,7046,43193,36147,-942
"09年07月",13425,5342,45535,40193,-1074
"09年08月",12009,4286,42561,38275,-1357
"09年09月",17176,7457,48149,40693,-1603
"09年10月",15353,10576,50062,39486,-1157
"09年11月",12363,6093,47503,41411,-1111
"09年12月",10660,7514,51777,44263,-1050
"10年01月",10200,2994,46699,43705,-1032
"10年02月",17227,9020,49154,40134,-1020
"10年03月",26950,12147,57580,45433,-1347
"10年04月",15863,9927,56235,46308,-715
"10年05月",14892,5255,50692,45437,-918
"10年06月",13005,9012,56005,46994,-1031
"10年07月",19323,10115,56925,46811,-923
"10年08月",13559,3102,49576,46473,-1360
"10年09月",21672,10483,55775,45292,-1349
"10年10月",16552,10235,54447,44213,-1075
"10年11月",11057,3924,51980,48056,-1112
"10年12月",13529,8946,58846,49899,-993
"11年01月",6598,-2537,48119,50656,-883
"11年02月",18112,8277,53844,45567,-1043
"11年03月",18525,3594,56730,53137,-1463
"11年04月",5004,-3065,49003,52068,-969
"11年05月",6484,-6753,45626,52379,-959
"11年06月",6551,2153,55158,53005,-1006
"11年07月",11714,2361,55415,53055,-1043
"11年08月",5526,-5713,51213,56926,-1413
"11年09月",16145,4986,57181,52195,-1279
"11年10月",5373,-1039,52772,53811,-971
"11年11月",1296,-5007,49999,55006,-992
"11年12月",2685,-559,54591,55149,-943
"12年01月",-4378,-12663,43845,56507,-666
"12年02月",12175,1874,52725,50852,-1113
"12年03月",13278,1328,60909,59581,-1137
"12年04月",3772,-3152,54586,57738,-538
"12年05月",3471,-6806,51128,57934,-735
"12年06月",4079,2128,54590,52461,-798
"12年07月",6434,-2584,51523,54108,-765
"12年08月",4085,-5144,48915,54060,-1267
"12年09月",5159,-3281,51536,54817,-1078
"12年10月",4028,-2966,50055,53020,-871
"12年11月",-1985,-7128,48484,55611,-850
"12年12月",-2478,-4325,51273,55598,-801
"13年01月",-3471,-13070,47264,60334,-762
"13年02月",6524,-5407,51353,56760,-752
"13年03月",12877,-738,61319,62057,-853
"13年04月",9250,-7082,56305,63387,-224
"13年05月",7083,-8138,56089,64227,-336
"13年06月",5009,165,58572,58407,-334
"13年07月",7260,-7902,57837,65739,-378
"13年08月",2824,-7426,55955,63381,-913
"13年09月",7389,-7135,57950,65085,-658
"13年10月",-162,-9221,59054,68275,-439
"13年11月",-4595,-11048,57051,68099,-426
"13年12月",-5422,-10733,59539,70272,-470
"14年01月",-14561,-24241,54742,78983,-236
"14年02月",7409,-5761,59331,65093,-445
"14年03月",2445,-11934,64900,76834,-446
"14年04月",3554,-7992,59764,67756,413
"14年05月",6936,-7052,57093,64146,76
"14年06月",-1934,-5542,61090,66632,-20
"14年07月",5482,-8661,62570,71231,138
"14年08月",4039,-8557,56526,65083,-482
"14年09月",10086,-7192,64777,71969,-254
"14年10月",8607,-7643,65762,73405,272
"14年11月",4524,-6318,63248,69566,242
"14年12月",2628,-3759,70944,74703,299
"15年01月",930,-8833,63257,72090,440
"15年02月",14660,-1317,60049,61366,790
"15年03月",27519,6478,71324,64846,633
"15年04月",13718,-1495,62345,63840,1343
"15年05月",18814,-564,57375,57939,1043
"15年06月",6587,1007,64759,63752,1056
"15年07月",18483,-1235,65657,66892,1321
"15年08月",16581,-3558,58687,62245,751
"15年09月",14847,503,63752,63250,560
"15年10月",14019,1810,63477,61667,1000
"15年11月",10759,-3273,59439,62712,900
"15年12月",8277,1616,62621,61005,1065
"16年01月",6395,-4344,53884,58228,1249
"16年02月",24364,3875,56415,52539,1274
"16年03月",30112,8658,63351,54692,1153
"16年04月",19189,6776,56185,49409,1359
"16年05月",18828,271,50674,50403,1068
"16年06月",10973,7498,58418,50920,1174
"16年07月",20998,6057,55605,49548,1570
"16年08月",20939,2188,53025,50837,752
"16年09月",19528,6624,58867,52243,820
"16年10月",16455,5669,57636,51967,1026
"16年11月",14716,3361,59458,56097,774
"16年12月",11414,8543,67410,58867,1049
"17年01月",2290,-8560,55299,63859,1610
"17年02月",30322,10779,63672,52893,980
"17年03月",31121,8657,71777,63119,915
"17年04月",20117,5533,61761,56228,1983
"17年05月",17778,-1238,57189,58427,1519
"17年06月",10122,5137,63790,58652,1433
"17年07月",24614,5673,63743,58070,1931
"17年08月",25112,3297,61852,58554,1175
"17年09月",22805,8509,67269,58760,1194
"17年10月",21894,4207,65708,61501,1783
"17年11月",13707,1914,67796,65883,1497
"17年12月",7897,5205,72680,67475,1777
"18年01月",6290,-6705,62250,68955,1944
"18年02月",21571,1980,64273,62293,2134
"18年03月",32092,11826,74491,62665,1814
"18年04月",19054,5652,66318,60666,2565
"18年05月",19103,-3127,63150,66276,2189
"18年06月",11746,8135,69763,61627,2203
"18年07月",20116,-105,67666,67771,2313
"18年08月",17980,-2508,66512,69021,1376
"18年09月",19660,3232,66714,63482,1212
"18年10月",13138,-3299,70970,74269,2235
"18年11月",8802,-5379,69489,74868,1941
"18年12月",4193,1562,70667,69106,2234
"19年01月",5878,-9679,58305,67984,2179
"19年02月",26138,4894,63066,58172,1997
"19年03月",29041,6963,70562,63599,1822
"19年04月",16613,-1201,63757,64957,2740
"19年05月",16311,-6798,59004,65802,2701
"19年06月",12532,7555,64483,56928,2698
"19年07月",20233,-827,65003,65830,2634
"19年08月",21351,304,60672,60368,1585
"19年09月",15571,-142,62183,62325,1635
"19年10月",18182,2241,65306,63065,2426
"19年11月",14206,-200,62547,62747,2280
"19年12月",5094,702,65421,64719,2327
"20年01月",6123,-9851,55452,65303,2669
"20年02月",31688,13666,63322,49656,579
"20年03月",19710,1031,61974,60943,245
"国際収支:億円:季節調整前 Source:財務省",,,,,
"国際収支",,,,,
