"Date","正社員労働市場関係指標","パートタイムを含む一般","パートタイムを除く一般","一般パートタイム"
"83年10月",,0.62,0.58,1.52
"83年11月",,0.62,0.59,1.54
"83年12月",,0.63,0.6,1.58
"84年01月",,0.64,0.6,1.61
"84年02月",,0.64,0.61,1.63
"84年03月",,0.64,0.61,1.6
"84年04月",,0.64,0.61,1.52
"84年05月",,0.64,0.61,1.5
"84年06月",,0.64,0.61,1.47
"84年07月",,0.65,0.62,1.54
"84年08月",,0.65,0.62,1.52
"84年09月",,0.66,0.62,1.48
"84年10月",,0.66,0.63,1.48
"84年11月",,0.66,0.63,1.48
"84年12月",,0.67,0.63,1.5
"85年01月",,0.68,0.64,1.52
"85年02月",,0.69,0.65,1.55
"85年03月",,0.68,0.64,1.57
"85年04月",,0.69,0.65,1.57
"85年05月",,0.69,0.65,1.54
"85年06月",,0.69,0.66,1.52
"85年07月",,0.69,0.65,1.47
"85年08月",,0.68,0.65,1.42
"85年09月",,0.68,0.64,1.47
"85年10月",,0.67,0.64,1.44
"85年11月",,0.67,0.63,1.44
"85年12月",,0.67,0.63,1.43
"86年01月",,0.67,0.63,1.46
"86年02月",,0.66,0.63,1.41
"86年03月",,0.65,0.62,1.38
"86年04月",,0.63,0.6,1.39
"86年05月",,0.62,0.58,1.4
"86年06月",,0.6,0.56,1.41
"86年07月",,0.6,0.55,1.43
"86年08月",,0.61,0.57,1.41
"86年09月",,0.61,0.56,1.46
"86年10月",,0.61,0.56,1.48
"86年11月",,0.61,0.56,1.5
"86年12月",,0.61,0.57,1.51
"87年01月",,0.62,0.57,1.54
"87年02月",,0.63,0.58,1.54
"87年03月",,0.64,0.59,1.57
"87年04月",,0.64,0.59,1.6
"87年05月",,0.65,0.59,1.66
"87年06月",,0.66,0.6,1.71
"87年07月",,0.68,0.62,1.81
"87年08月",,0.71,0.65,1.94
"87年09月",,0.74,0.68,2.02
"87年10月",,0.77,0.7,2.11
"87年11月",,0.81,0.73,2.2
"87年12月",,0.84,0.76,2.32
"88年01月",,0.87,0.79,2.43
"88年02月",,0.9,0.81,2.5
"88年03月",,0.92,0.84,2.68
"88年04月",,0.95,0.85,2.86
"88年05月",,0.98,0.88,2.99
"88年06月",,1.01,0.9,3.12
