"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-10-15",12961,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-10-22",33393,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-10-29",43589,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-11-05",54002,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-11-12",42373,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-11-19",28865,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-11-26",20344,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-12-03",21471,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-12-10",20741,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-12-17",11191,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-12-24",8497,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2019-12-31",11913,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-01-07",26367,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-01-14",32852,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-01-21",38294,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-01-28",34590,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
