"Date","一致指数","先行指数","遅行指数"
"94年01月",78.4,80.1,92.5
"94年02月",78.4,81.1,91.5
"94年03月",79.7,83.5,91.1
"94年04月",79.9,84.3,91
"94年05月",80.1,84.7,90
"94年06月",81.1,86.1,89.8
"94年07月",82.1,86.7,89.9
"94年08月",82.6,87.4,90.1
"94年09月",82.4,87.8,90.3
"94年10月",83.4,87.9,90
"94年11月",84.1,89.2,89.9
"94年12月",84.8,90,90.3
"95年01月",83.3,88.5,89.6
"95年02月",84.6,90.1,89.9
"95年03月",85.1,88.7,90.3
"95年04月",85.8,87.9,89.7
"95年05月",84.9,87.3,89.8
"95年06月",84.8,86.7,89.8
"95年07月",83.9,85.7,89.6
"95年08月",85.1,86.9,89.7
"95年09月",85,87.4,90.3
"95年10月",85.3,88.1,90.2
"95年11月",86.1,90.5,90.4
"95年12月",87.1,91.3,91.1
"96年01月",87.2,90.9,90.8
"96年02月",88.6,91.9,92
"96年03月",88.8,92.1,92
"96年04月",89.4,93.1,92.1
"96年05月",90.1,93.8,92.6
"96年06月",90.1,93.5,92.2
"96年07月",91,94.8,93.1
"96年08月",91.1,95.2,93.5
"96年09月",91.7,95.3,93.2
"96年10月",93.1,97.4,94.3
"96年11月",93.8,96.9,94.9
"96年12月",94.1,96,94.4
"97年01月",95.5,96.3,95.4
"97年02月",95.8,96.3,95.5
"97年03月",97.4,95,96.7
"97年04月",94.9,94.2,97.4
"97年05月",96,95.6,98
"97年06月",96,94.5,98.5
"97年07月",95.8,94.3,98.6
"97年08月",95.5,93.6,98.7
"97年09月",94.5,93,99.3
"97年10月",93.8,91.5,99.1
"97年11月",92,88.8,98.8
"97年12月",91.4,87.6,98.8
"98年01月",91.1,86.9,97.9
"98年02月",88.9,86.2,96.9
"98年03月",86.1,85,95.6
"98年04月",86.3,83.6,94.8
"98年05月",85.3,84.3,94.2
"98年06月",84.7,83.1,94
"98年07月",84.9,82.8,93.4
"98年08月",83.8,82.8,92.9
"98年09月",84.6,82.7,92.6
"98年10月",84.1,81.2,92.2
"98年11月",83.7,82.7,91.5
"98年12月",83.6,82.4,91
"99年01月",84,82.3,91.1
"99年02月",84.2,83,90.3
"99年03月",85.1,85.4,89.8
"99年04月",84.8,87.1,89.5
"99年05月",85.3,86.7,89.3
"99年06月",85.2,88.2,88.9
"99年07月",86.1,89.4,89.1
"99年08月",87.1,89.2,89.2
"99年09月",88,90.1,89.5
"99年10月",88.3,91.1,89
"99年11月",89,91.2,89.5
"99年12月",89.1,92,89.6
"00年01月",89.5,93.3,89.6
"00年02月",90.3,93.6,90
"00年03月",91.4,92.9,90.9
"00年04月",92.4,94,90.6
"00年05月",92.5,94,90.6
"00年06月",93.5,94.8,90.4
"00年07月",93.6,94.9,90.4
"00年08月",94.9,95.6,90.6
"00年09月",94.1,95.9,90.3
"00年10月",95.2,95.8,91.1
"00年11月",95.8,95.8,91.4
"00年12月",96.6,96,91.7
"01年01月",94.5,93,91.5
"01年02月",94,92.5,91.9
"01年03月",92.7,91.1,91.4
"01年04月",91.6,90,91.2
"01年05月",90.5,90.2,91.3
"01年06月",90,89,90.8
"01年07月",88.5,87.5,90.7
"01年08月",87,86.6,90.7
"01年09月",85.5,84.3,90.3
"01年10月",84.8,83.3,90.2
"01年11月",83.8,83.8,89.5
"01年12月",83.6,83.7,88.4
"02年01月",83.7,85,88.9
"02年02月",84.4,85.5,88.4
"02年03月",85.1,87.7,88.1
"02年04月",86,89.2,88
"02年05月",88.6,91.4,87.4
"02年06月",87.6,90.9,87.3
"02年07月",87.9,91,87.6
"02年08月",89.2,91.4,87.3
"02年09月",89.7,90.4,87.9
"02年10月",90,91.2,88.1
"02年11月",90.4,91.2,88.4
"02年12月",89.8,90.2,88.9
"03年01月",90.7,90.8,89.1
"03年02月",91.4,91.1,89.6
"03年03月",91.4,90.8,90.1
"03年04月",90.7,90.7,89.9
"03年05月",91.6,91.7,90.7
"03年06月",91.5,92.2,91.2
"03年07月",91.9,93.3,92
"03年08月",92.4,93.2,92.7
"03年09月",94.2,95.2,92.7
"03年10月",96,97.2,93.7
"03年11月",95.4,95.5,93.9
"03年12月",97.1,96.6,94.7
"04年01月",98.4,98.1,95.9
"04年02月",98.1,98.1,96
"04年03月",97.9,99.7,96.4
"04年04月",98.8,100.5,97.7
"04年05月",99.1,101.4,98.2
"04年06月",99.9,100.9,98
"04年07月",101.1,102.9,98.3
"04年08月",100,101.8,98.6
"04年09月",100.2,102.2,99.6
"04年10月",99.6,102.4,99.2
"04年11月",101.1,102.6,99.5
"04年12月",100.1,103,99.3
"05年01月",101,102.3,99.9
"05年02月",100.2,101.8,99.4
"05年03月",100.6,103.1,100.5
"05年04月",102.3,104,100.5
"05年05月",101.2,102.8,100.7
"05年06月",101.7,103.1,101.4
"05年07月",101.1,103.7,100.7
"05年08月",101.6,104.2,101.7
"05年09月",101.4,104,101.9
"05年10月",101.8,105.6,101.3
"05年11月",102.6,106.7,101.6
"05年12月",103.8,106.7,102
"06年01月",104.1,106.9,101.6
"06年02月",104.2,107.8,103
"06年03月",104.5,106.3,103
"06年04月",105.4,108.5,104
"06年05月",105.2,108.2,104.2
"06年06月",105.6,106.5,104.8
"06年07月",105.9,105.6,105.5
"06年08月",106.1,107.2,105.4
"06年09月",105.6,106.2,105.5
"06年10月",106,106.4,106.1
"06年11月",106.2,107.1,106.7
"06年12月",106.1,106.7,107.2
"07年01月",106,106.8,107.8
"07年02月",106.4,107.6,107
"07年03月",105.8,107.1,107
"07年04月",106.6,107.6,107.8
"07年05月",106.9,107.2,108
"07年06月",106.6,106.5,108.2
"07年07月",105.7,106.4,108.6
"07年08月",106.4,104.2,108.7
"07年09月",105.2,103.2,108.8
"07年10月",105.8,104.8,109
"07年11月",104.6,102.8,110.4
"07年12月",104.7,102.1,110.3
"08年01月",104.4,102.3,109.5
"08年02月",104.8,102.6,110.2
"08年03月",103.8,100.7,110.4
"08年04月",102.9,101.2,108.3
"08年05月",102.9,100.5,108.6
"08年06月",100.4,99.1,107.5
"08年07月",99.7,98.3,107.6
"08年08月",96.3,96.5,106.3
"08年09月",95.5,95.2,105.9
"08年10月",92.4,89.7,105
"08年11月",87,84.3,102.3
"08年12月",81.7,80.7,98.9
"09年01月",75.3,75,96.8
"09年02月",69.9,72.6,94
"09年03月",69.2,74.1,92.2
"09年04月",70.3,77.8,90.7
"09年05月",72.2,80,88.1
"09年06月",73.3,83.3,87.2
"09年07月",74,84.9,85.8
"09年08月",75.7,86.6,86
"09年09月",77.9,89,85.6
"09年10月",79.9,91.2,85.4
"09年11月",81.5,90.5,85.3
"09年12月",83.1,92.6,85.8
"10年01月",85.6,93.6,86.6
"10年02月",86.7,92.6,86.7
"10年03月",87.6,96.1,86.9
"10年04月",88.8,97.7,86.5
"10年05月",88.2,96.5,87.4
"10年06月",88.6,97,87.7
"10年07月",89.2,96.9,88.5
"10年08月",89.9,97.1,88.3
"10年09月",90.1,96.6,88.4
"10年10月",89.7,96.1,89
"10年11月",91.7,96.7,89.2
"10年12月",91.6,97,89.2
"11年01月",91.7,97.6,89.8
"11年02月",93,98.6,90.2
"11年03月",86.7,96.4,88.2
"11年04月",85.2,93.9,89.3
"11年05月",87.1,94.4,89.7
"11年06月",89.3,96.7,89.6
"11年07月",90.7,98.4,89.9
"11年08月",91.8,98.2,90.7
"11年09月",92.4,96.8,91.6
"11年10月",94.3,96.8,91
"11年11月",92.7,96.3,91.3
"11年12月",94.9,96.8,91.9
"12年01月",95.2,97.4,91.4
"12年02月",96,98.6,92.7
"12年03月",97,99.1,93.2
"12年04月",95.7,98.6,93.3
"12年05月",95.2,97.7,92.8
"12年06月",93.4,96.3,92.7
"12年07月",92.9,95.5,92.1
"12年08月",93.1,95.3,92.3
"12年09月",91.7,94.2,92.1
"12年10月",91.5,93.9,92.5
"12年11月",91.1,93.4,92.1
"12年12月",92.5,94.6,92.2
"13年01月",92.7,96.6,91.6
"13年02月",93.7,99.6,91.2
"13年03月",95.1,101.3,91.3
"13年04月",95.6,102.6,91.2
"13年05月",96.6,104.2,91.9
"13年06月",96.9,103.2,92.3
"13年07月",98.1,104,93.2
"13年08月",99.1,104.4,93.8
"13年09月",100,105.7,94.1
"13年10月",100.6,105.8,94.5
"13年11月",101.8,107.3,95.3
"13年12月",101.6,106.6,96.1
"14年01月",103.7,107.2,97.3
"14年02月",103.1,103.9,97.4
"14年03月",105.5,102.9,98.1
"14年04月",100.8,100.7,98.2
"14年05月",101.1,99.4,100.1
"14年06月",99.8,99.4,100
"14年07月",100.2,100.8,100.3
"14年08月",99.4,100.6,100.1
"14年09月",100.7,100.9,100.2
"14年10月",100.4,99.6,100.2
"14年11月",99.9,100.1,100.2
"14年12月",100.3,100.1,99.9
"15年01月",101.5,99.9,100.1
"15年02月",100.2,100,100.1
"15年03月",99.3,100.1,99.7
"15年04月",100.2,101.5,100.1
"15年05月",99.7,102.7,100
"15年06月",100.6,102.3,99.6
"15年07月",100.3,100.7,100
"15年08月",99.6,100,99.8
"15年09月",100.2,98.8,100
"15年10月",100.3,99.2,100.2
"15年11月",99.4,98.1,100.2
"15年12月",98.5,96.8,100.2
"16年01月",99.2,97,99.7
"16年02月",98.7,95.8,99.9
"16年03月",98.4,95.9,99.6
"16年04月",98.6,96,99.7
"16年05月",98,96,99
"16年06月",98.4,96.3,99.7
"16年07月",98.9,96.5,99.5
"16年08月",99.1,96.5,99.8
"16年09月",99.4,96.4,100.2
"16年10月",100.1,97.6,100
"16年11月",101.4,99,100.2
"16年12月",101.3,101,100.8
"17年01月",101.1,101,101
"17年02月",101.5,100.8,101.4
"17年03月",101.5,101.6,102
"17年04月",102.9,100.8,102.3
"17年05月",102.1,100.9,102.2
"17年06月",102.6,101.6,102.4
"17年07月",102.1,101.5,102.1
"17年08月",103.5,102.6,102.8
"17年09月",102.7,102.2,103.1
"17年10月",102.8,101.6,103.9
"17年11月",104.2,103.2,104.4
"17年12月",105.4,102.4,104.6
"18年01月",102.6,101.4,104.3
"18年02月",103.3,101.5,104.4
"18年03月",103.2,100.7,104.7
"18年04月",104.1,101.9,104.4
"18年05月",103.6,101.7,104.9
"18年06月",103.4,100.9,104.7
"18年07月",102.9,99.8,104
"18年08月",103,99.8,104.3
"18年09月",101.8,99.7,103.6
"18年10月",104,99.2,103.7
"18年11月",102.4,98.6,103.9
"18年12月",101.3,97.2,103.4
"19年01月",100.8,96.4,104.4
"19年02月",101.8,96.9,104.3
"19年03月",101.4,96.4,104.1
"19年04月",101.5,96.3,104.2
"19年05月",101.5,95.4,104.1
"19年06月",99.3,94.2,104.2
"19年07月",99.2,93.9,104.4
"19年08月",98.3,92.6,104.1
"19年09月",99.8,92.4,104
"19年10月",96.1,91.9,102.9
"19年11月",95.1,91,102.9
"19年12月",94.3,91.4,102.9
"20年01月",95.7,90.8,102
"20年02月",95.4,91.9,100.7
"20年03月",90.2,84.7,100
"景気動向指数:CI指数(H27=100) Source:内閣府",,,
"景気動向指数",,,
