"Date","マネタリーベース平均残高(前年比):%","マネタリーベース平均残高/うち日本銀行券発行高(前年比):%","マネタリーベース平均残高/うち日銀当座預金(前年比):%","マネタリーベース平均残高/うち貨幣流通高(前年比):%"
"07年08月",0.7,1.3,-4.1,0.7
"07年09月",0.7,1.5,-5.8,0.8
"07年10月",0.5,1.7,-9.4,0.9
"07年11月",1,1.7,-4.8,0.9
"07年12月",0.4,1.7,-11.2,1
"08年01月",-0.1,1.5,-14.4,1
"08年02月",0.1,1.1,-9.3,1
"08年03月",0,0.8,-7.4,1
"08年04月",-2.8,0.6,-27.3,0.9
"08年05月",-0.9,0.7,-16,0.8
"08年06月",0.4,0.7,-2.2,0.8
"08年07月",-0.7,0.6,-12.3,0.8
"08年08月",-0.2,0.9,-10.1,0.7
"08年09月",0.9,0.4,5.4,0.7
"08年10月",1.4,0.8,7.1,0.6
"08年11月",1.9,1.1,11.3,0.5
"08年12月",1.8,0.5,14.7,0.4
"09年01月",3.9,0.4,41.8,0.2
"09年02月",6.4,0.7,65.8,0.1
"09年03月",6.9,0.8,69.1,-0.1
"09年04月",8.2,1,81.2,-0.2
"09年05月",7.9,1.1,81.7,-0.2
"09年06月",6.4,0.9,59.6,-0.2
"09年07月",6.1,0.7,63.2,-0.2
"09年08月",6.1,0.5,64.6,-0.2
"09年09月",4.5,1,37.5,-0.1
"09年10月",4.4,0,43.8,-0.2
"09年11月",3.8,-0.3,43.4,-0.4
"09年12月",5.2,-0.3,53.6,-0.7
"10年01月",4.9,-0.2,43.4,-0.7
"10年02月",2.2,0.1,15.3,-0.7
"10年03月",2.1,0.4,13,-0.6
"10年04月",2.9,0.9,14.6,-0.5
"10年05月",3.7,0.6,22.9,-0.4
"10年06月",3.6,0.7,21.7,-0.3
"10年07月",6.1,1,39.8,-0.4
"10年08月",5.4,1.2,32.7,-0.3
"10年09月",5.8,1,38.4,-0.4
"10年10月",6.4,1.5,38,-0.5
"10年11月",7.6,1.8,47.3,-0.4
"10年12月",7,2,36.6,-0.4
"11年01月",5.5,2,24.5,-0.2
"11年02月",5.6,2.4,23.3,-0.1
"11年03月",16.9,3.7,88.7,0
"11年04月",23.9,3.7,123.4,0.1
"11年05月",16.2,2.9,82.5,0.1
"11年06月",17,2.7,89.2,0
"11年07月",15,2.7,73.3,0
"11年08月",15.9,2.7,79.4,0
"11年09月",16.7,2.9,84.9,0
"11年10月",17,2.6,84.6,0
"11年11月",19.5,2.4,99.1,0
"11年12月",13.5,2.3,61.3,0.2
"12年01月",15,2.3,69.8,0.1
"12年02月",11.3,2.2,52.8,0.1
"12年03月",-0.2,0.9,-3.6,0.1
"12年04月",-0.3,0.9,-2.9,-0.1
"12年05月",2.4,1.6,4.7,-0.1
"12年06月",5.9,2.2,16.5,0
"12年07月",8.6,2.3,26.4,0.2
"12年08月",6.5,2.4,18,0.3
"12年09月",9,2.3,27.6,0.4
"12年10月",10.8,2.6,32.2,0.4
"12年11月",5,2.7,10.9,0.4
"12年12月",11.8,2.8,36.5,0.5
"13年01月",10.9,3.2,31.2,0.6
"13年02月",15,3.1,51.2,0.7
"13年03月",19.8,3,72.2,0.7
"13年04月",23.1,3,70.6,0.8
"13年05月",31.6,3.1,108.1,0.9
"13年06月",36,3.3,114.5,1
"13年07月",38,3.1,116.4,1
"13年08月",42,3.3,133.8,1
"13年09月",46.1,3.4,139.2,1
"13年10月",45.8,3.4,130.5,1.1
"13年11月",52.5,3.6,160.5,1.1
"13年12月",46.6,3.7,133.8,1.1
"14年01月",51.9,3.9,149.7,1.1
"14年02月",55.7,3.8,162.3,1
"14年03月",54.8,4,148.9,1.1
"14年04月",48.5,3.5,112.2,1.1
"14年05月",45.6,3.4,101.6,1
"14年06月",42.6,3.4,87.8,1
"14年07月",42.7,3.4,84.8,1
"14年08月",40.5,3.5,79.3,0.9
"14年09月",35.3,3.5,65.2,0.9
"14年10月",36.9,3.6,66.7,0.9
"14年11月",36.7,3.7,65.7,0.8
"14年12月",38.2,3.6,69.5,0.7
"15年01月",37.4,3.5,66.2,0.7
"15年02月",36.7,3.7,63.6,0.8
"15年03月",35.2,3.6,59.7,0.9
"15年04月",35.2,4.1,56.8,0.8
"15年05月",35.6,4.5,56.9,0.7
"15年06月",34.2,4.7,53,0.7
"15年07月",32.8,5,49.5,0.6
"15年08月",33.3,5.3,50.3,0.6
"15年09月",35.1,5.9,52.4,0.7
"15年10月",32.5,6.1,47.3,0.9
"15年11月",32.5,6.2,47.1,0.9
"15年12月",29.5,6.1,42.6,0.8
"16年01月",28.9,6.2,41,0.7
"16年02月",29,6.6,40.6,0.7
"16年03月",28.5,6.7,39.6,0.8
"16年04月",26.8,6.8,36.1,0.9
"16年05月",25.5,6.5,34.1,1
"16年06月",25.4,6.2,33.9,1
"16年07月",24.7,5.9,32.6,1
"16年08月",24.2,5.7,32,1.1
"16年09月",22.7,5.2,29.9,1
"16年10月",22.1,5,29,0.9
"16年11月",21.5,4.7,28.2,1
"16年12月",23.1,4.5,30.8,1.1
"17年01月",22.6,4.5,29.7,1.1
"17年02月",21.4,4.5,28,1.1
"17年03月",20.3,4.5,26.4,1
"17年04月",19.8,4.2,25.4,1.1
"17年05月",19.4,4.4,24.8,1.1
"17年06月",17,4.6,21.3,1.2
"17年07月",15.6,4.6,19.3,1.2
"17年08月",16.3,4.7,20.2,1.2
"17年09月",15.6,4.6,19.3,1.2
"17年10月",14.5,4.7,17.7,1.2
"17年11月",13.2,4.8,15.9,1.2
"17年12月",11.2,4.4,13.5,1.1
"18年01月",9.7,4.4,11.4,1.1
"18年02月",9.4,4.6,11,1.2
"18年03月",9.1,4.3,10.6,1.2
"18年04月",7.8,4.3,8.9,1.1
"18年05月",8.1,4,9.4,1
"18年06月",7.4,4.2,8.3,1
"18年07月",7,4.1,7.9,0.9
"18年08月",6.9,3.8,7.8,0.9
"18年09月",5.9,4,6.5,1
"18年10月",5.9,3.8,6.5,1
"18年11月",6.1,3.5,6.9,1.1
"18年12月",4.8,3.4,5.3,1.1
"19年01月",4.7,3.3,5.2,1.2
"19年02月",4.6,3.2,5,1.4
"19年03月",3.8,3.3,4,1.7
"19年04月",3.1,4.6,2.7,2
"19年05月",3.6,4.6,3.4,2.3
"19年06月",4,3.1,4.2,2.3
"19年07月",3.7,2.8,3.9,2.3
"19年08月",2.8,2.7,2.9,2.2
"19年09月",3,2.4,3.2,2.2
"19年10月",3.1,2.3,3.3,2.2
"19年11月",3.3,2.2,3.5,2.2
"19年12月",3.2,2.1,3.5,2.2
"20年01月",2.9,2.2,3.1,2.2
"20年02月",3.6,2,4,2.1
"20年03月",2.8,1.9,3,1.8
"20年04月",2.3,1.5,2.5,1.4
"20年05月",3.9,2.4,4.4,1
"20年06月",6,4.8,6.5,1
"マネタリーベース Source:日本銀行",,,,
"マネタリーベース",,,,
