"Date","全産業活動指数(ウエイト:100)","鉱工業及び第3次産業の統合指数(ウエイト:94.23)","第3次産業活動指数(ウエイト:73.45)","鉱工業生産指数(ウエイト:20.78)","建設業活動指数(ウエイト:5.77)"
"17年10月",0.2,0.2,0.1,0.5,-0.4
"17年11月",0.7,0.7,0.7,0.7,0.2
"17年12月",0.4,0.5,0.1,1.8,0.1
"18年01月",-0.9,-1.1,-0.2,-4.3,0.3
"18年02月",0.6,0.7,0.2,2.6,-0.4
"18年03月",-0.2,-0.1,-0.5,1.1,-0.8
"18年04月",0.6,0.5,0.8,-0.6,1
"18年05月",0.1,0.1,0.1,0.3,-0.3
"18年06月",-0.5,-0.4,-0.2,-1.1,-1.1
"18年07月",0,0,0,0.1,-0.7
"18年08月",0.3,0.4,0.5,-0.2,0
"18年09月",-0.8,-0.8,-0.9,-0.1,-0.6
"18年10月",1.4,1.5,1.4,2,-1.2
"18年11月",-0.3,-0.3,-0.1,-1,0.2
"18年12月",-0.1,0,-0.1,0.1,-1.5
"19年01月",0,-0.2,0.5,-2.3,2.3
"19年02月",0,0,-0.3,1,0.7
"19年03月",-0.2,-0.2,-0.2,-0.5,0.2
"19年04月",0.4,0.3,0.5,-0.1,0.4
"19年05月",0.1,0.1,-0.3,1.5,0.6
"19年06月",-0.7,-0.7,-0.1,-2.6,-0.4
"19年07月",0.1,0.2,0,0.7,-0.7
"19年08月",-0.3,-0.4,0,-1.7,-0.4
"19年09月",2.5,2.8,2.9,1.9,-1.1
"19年10月",-5,-5.3,-5.6,-4,-0.3
"19年11月",0.6,0.6,1,-0.6,0
"19年12月",0.1,0.2,0.2,0.2,-2.6
"20年01月",0.6,0.7,0.3,2,1.2
"20年02月",-0.7,-0.7,-0.8,-0.3,-1.8
"20年03月",-3.8,-4.1,-4.2,-3.7,1.4
"前月比(%):全産業活動指数【月次】業種別指数(2010=100.0):季節調整値 Source:経済産業省",,,,,
"全産業活動指数:季節調整値",,,,,
